NAME,DATE,TAVG,TMAX,TMIN,PRCP
"HAIKOU, CH",2020-01-01,20.44,22.78,19.89, 0.01
"HAIKOU, CH",2020-01-02,21.33,25.28,19.28, 0.01
"HAIKOU, CH",2020-01-03,21.72,25.61,19.28, 0.00
"HAIKOU, CH",2020-01-04,21.83,25.61,19.5, 0.00
"HAIKOU, CH",2020-01-05,22.22,26.72,19.28, 0.00
"HAIKOU, CH",2020-01-06,23.67,26.72,21.22, 0.00
"HAIKOU, CH",2020-01-07,22.78,27.5,20.28, 0.00
"HAIKOU, CH",2020-01-08,21.89,27.5,19.28, 0.00
"HAIKOU, CH",2020-01-09,23.11,26.22,19.39, 0.00
"HAIKOU, CH",2020-01-10,22.89,26.5,20.11, 0.00
"HAIKOU, CH",2020-01-11,22.28,26.5,18.39, 0.00
"HAIKOU, CH",2020-01-12,19.33,25.61,18.28, 0.00
"HAIKOU, CH",2020-01-13,21.61,24.28,18.28, 0.00
"HAIKOU, CH",2020-01-14,22.5,27.22,19.72, 0.00
"HAIKOU, CH",2020-01-15,22.89,27.5,19.39, 0.00
"HAIKOU, CH",2020-01-16,22.83,27.5,18.89,99.99
"HAIKOU, CH",2020-01-17,19.78,27.0,18.78, 0.29
"HAIKOU, CH",2020-01-18,22.0,26.11,19.39, 0.00
"HAIKOU, CH",2020-01-19,21.22,26.11,20.22, 0.00
"HAIKOU, CH",2020-01-20,21.11,24.0,18.89, 0.00
"HAIKOU, CH",2020-01-21,21.72,26.61,17.61, 0.00
"HAIKOU, CH",2020-01-22,22.5,26.61,19.39, 0.00
"HAIKOU, CH",2020-01-23,23.72,27.5,20.5, 0.00
"HAIKOU, CH",2020-01-24,23.39,27.5,20.72, 0.00
"HAIKOU, CH",2020-01-25,21.0,27.11,15.11, 0.00
"HAIKOU, CH",2020-01-26,13.67,26.39,12.61, 0.24
"HAIKOU, CH",2020-01-27,13.22,15.11,12.11, 0.74
"HAIKOU, CH",2020-01-28,14.72,15.39,12.11, 0.02
"HAIKOU, CH",2020-01-29,15.11,18.11,13.5, 0.02
"HAIKOU, CH",2020-01-30,15.33,18.61,11.5, 0.00
"HAIKOU, CH",2020-01-31,18.5,21.72,11.5, 0.00
"HAIKOU, CH",2020-02-01,19.94,22.11,16.28, 0.00
"HAIKOU, CH",2020-02-02,21.61,25.72,18.28, 0.00
"HAIKOU, CH",2020-02-03,21.78,26.11,18.39, 0.00
"HAIKOU, CH",2020-02-05,20.11,21.0,18.5, 0.03
"HAIKOU, CH",2020-02-06,22.89,26.78,18.61, 0.00
"HAIKOU, CH",2020-02-07,21.22,26.78,19.61, 0.00
"HAIKOU, CH",2020-02-08,19.89,24.0,19.0, 0.00
"HAIKOU, CH",2020-02-09,18.39,23.22,16.89,99.99
"HAIKOU, CH",2020-02-10,18.17,20.11,16.39, 0.01
"HAIKOU, CH",2020-02-11,21.17,24.72,17.22, 0.05
"HAIKOU, CH",2020-02-12,23.06,28.39,20.0, 0.03
"HAIKOU, CH",2020-02-14,24.61,28.0,22.39, 0.02
"HAIKOU, CH",2020-02-15,25.0,32.78,18.11, 0.00
"HAIKOU, CH",2020-02-16,14.0,15.0,12.28, 0.00
"HAIKOU, CH",2020-02-17,15.78,16.78,12.28, 0.00
"HAIKOU, CH",2020-02-18,17.61,18.39,15.0, 0.00
"HAIKOU, CH",2020-02-19,20.56,23.89,16.61, 0.00
"HAIKOU, CH",2020-02-20,22.0,25.39,19.5, 0.00
"HAIKOU, CH",2020-02-21,20.33,25.39,19.11, 0.00
"HAIKOU, CH",2020-02-22,20.56,24.89,16.39, 0.00
"HAIKOU, CH",2020-02-23,20.44,24.89,16.0, 0.00
"HAIKOU, CH",2020-02-24,21.89,25.0,18.5, 0.00
"HAIKOU, CH",2020-02-25,22.28,26.0,20.28, 0.00
"HAIKOU, CH",2020-02-26,22.83,26.22,21.22, 0.00
"HAIKOU, CH",2020-02-27,22.94,27.22,20.72, 0.00
"HAIKOU, CH",2020-02-28,22.33,27.22,21.22, 0.09
"HAIKOU, CH",2020-02-29,24.11,28.72,21.28, 0.09
"HAIKOU, CH",2020-03-01,24.06,28.72,21.61, 0.00
"HAIKOU, CH",2020-03-02,24.5,28.22,21.61, 0.00
"HAIKOU, CH",2020-03-03,24.39,28.61,21.78, 0.00
"HAIKOU, CH",2020-03-04,21.61,28.61,18.5, 0.29
"HAIKOU, CH",2020-03-05,20.11,26.78,18.5, 0.20
"HAIKOU, CH",2020-03-06,23.61,26.39,19.39, 0.10
"HAIKOU, CH",2020-03-07,25.5,31.28,21.61, 0.00
"HAIKOU, CH",2020-03-08,27.28,33.39,22.22, 0.00
"HAIKOU, CH",2020-03-09,27.56,34.89,23.22, 0.00
"HAIKOU, CH",2020-03-10,22.28,34.89,21.78, 0.00
"HAIKOU, CH",2020-03-11,23.83,24.5,21.5, 0.00
"HAIKOU, CH",2020-03-12,26.72,32.0,22.5, 0.00
"HAIKOU, CH",2020-03-13,27.22,32.0,23.0, 0.00
"HAIKOU, CH",2020-03-14,21.28,31.78,20.78, 0.06
"HAIKOU, CH",2020-03-15,22.28,23.39,20.78, 0.00
"HAIKOU, CH",2020-03-16,23.89,26.22,21.22, 0.00
"HAIKOU, CH",2020-03-17,24.11,26.89,21.89, 0.00
"HAIKOU, CH",2020-03-18,24.28,28.11,21.89, 0.00
"HAIKOU, CH",2020-03-19,25.28,28.72,22.0, 0.00
"HAIKOU, CH",2020-03-20,26.06,30.11,23.0, 0.00
"HAIKOU, CH",2020-03-21,27.28,32.28,23.0, 0.00
"HAIKOU, CH",2020-03-22,26.78,32.28,22.89, 0.00
