NAME,DATE,TAVG,TMAX,TMIN,PRCP
"LHASA, CH",2020-01-01,-2.94,6.39,-10.28, 0.00
"LHASA, CH",2020-01-02,-0.61,5.5,-8.89, 0.00
"LHASA, CH",2020-01-03,-2.22,5.5,-8.0, 0.01
"LHASA, CH",2020-01-04,-0.83,4.28,-8.0, 0.00
"LHASA, CH",2020-01-05,-2.72,2.72,-8.28, 0.00
"LHASA, CH",2020-01-06,-2.5,4.22,-9.39, 0.00
"LHASA, CH",2020-01-07,-1.11,8.72,-9.22, 0.00
"LHASA, CH",2020-01-08,1.28,8.72,-7.89, 0.00
"LHASA, CH",2020-01-09,2.0,8.5,-7.28, 0.00
"LHASA, CH",2020-01-10,-1.83,7.22,-7.0, 0.00
"LHASA, CH",2020-01-11,-2.94,5.5,-9.39, 0.00
"LHASA, CH",2020-01-12,-1.39,8.0,-9.39, 0.00
"LHASA, CH",2020-01-13,0.5,11.22,-8.72, 0.00
"LHASA, CH",2020-01-14,1.83,14.11,-7.78, 0.00
"LHASA, CH",2020-01-15,3.17,14.11,-7.78, 0.00
"LHASA, CH",2020-01-16,2.39,14.11,-5.61, 0.00
"LHASA, CH",2020-01-17,4.78,13.28,-5.0, 0.00
"LHASA, CH",2020-01-18,3.67,13.28,-4.89, 0.00
"LHASA, CH",2020-01-19,1.17,10.61,-4.89, 0.00
"LHASA, CH",2020-01-20,-1.33,7.5,-6.11, 0.00
"LHASA, CH",2020-01-21,-0.17,4.89,-8.28, 0.00
"LHASA, CH",2020-01-22,1.44,7.61,-8.28, 0.00
"LHASA, CH",2020-01-23,-1.67,7.61,-7.28, 0.00
"LHASA, CH",2020-01-24,-4.28,5.0,-8.22, 0.00
"LHASA, CH",2020-01-25,-3.17,3.39,-11.11, 0.00
"LHASA, CH",2020-01-26,-1.61,5.89,-11.11, 0.00
"LHASA, CH",2020-01-27,-1.56,7.72,-8.39, 0.00
"LHASA, CH",2020-01-28,-0.44,8.39,-8.5, 0.00
"LHASA, CH",2020-01-29,-0.89,10.22,-8.5, 0.00
"LHASA, CH",2020-01-30,1.78,10.22,-7.11, 0.00
"LHASA, CH",2020-01-31,0.11,8.5,-6.39, 0.00
"LHASA, CH",2020-02-01,0.89,8.72,-7.61, 0.00
"LHASA, CH",2020-02-02,-1.78,8.72,-7.61, 0.00
"LHASA, CH",2020-02-03,-2.78,5.28,-9.28, 0.00
"LHASA, CH",2020-02-04,-1.56,7.89,-9.28, 0.00
"LHASA, CH",2020-02-05,-0.39,7.89,-8.78, 0.00
"LHASA, CH",2020-02-06,-0.94,7.61,-7.89, 0.00
"LHASA, CH",2020-02-07,2.0,9.22,-7.72, 0.00
"LHASA, CH",2020-02-08,0.89,9.22,-7.61, 0.00
"LHASA, CH",2020-02-09,-1.89,7.22,-7.22, 0.00
"LHASA, CH",2020-02-10,-1.44,7.61,-8.89, 0.00
"LHASA, CH",2020-02-11,1.72,8.78,-8.89, 0.00
"LHASA, CH",2020-02-12,3.56,12.78,-7.39, 0.00
"LHASA, CH",2020-02-13,5.33,16.72,-4.11, 0.00
"LHASA, CH",2020-02-14,5.89,17.22,-3.22, 0.00
"LHASA, CH",2020-02-15,4.61,17.22,-3.28, 0.00
"LHASA, CH",2020-02-16,3.61,15.11,-4.61, 0.00
"LHASA, CH",2020-02-17,7.39,15.22,-4.61, 0.00
"LHASA, CH",2020-02-18,2.22,15.22,-4.61, 0.00
"LHASA, CH",2020-02-19,3.11,9.89,-6.5, 0.00
