NAME,DATE,TAVG,TMAX,TMIN,PRCP
"SHANTOU, CH",2020-01-01,16.11,19.78,13.0, 0.00
"SHANTOU, CH",2020-01-02,16.94,22.0,13.0, 0.00
"SHANTOU, CH",2020-01-03,18.39,23.0,14.0, 0.00
"SHANTOU, CH",2020-01-04,18.56,23.39,15.0, 0.00
"SHANTOU, CH",2020-01-05,19.78,24.0,16.0, 0.00
"SHANTOU, CH",2020-01-06,20.0,25.0,16.0, 0.00
"SHANTOU, CH",2020-01-07,21.06,27.0,16.0, 0.00
"SHANTOU, CH",2020-01-08,19.17,26.89,14.0, 0.00
"SHANTOU, CH",2020-01-09,17.28,24.72,15.0, 0.00
"SHANTOU, CH",2020-01-10,18.17,23.0,15.5, 0.00
"SHANTOU, CH",2020-01-11,17.78,26.0,12.0, 0.00
"SHANTOU, CH",2020-01-12,15.22,23.28,12.0, 0.00
"SHANTOU, CH",2020-01-13,15.56,19.11,12.0, 0.00
"SHANTOU, CH",2020-01-14,17.11,23.0,12.0, 0.00
"SHANTOU, CH",2020-01-15,17.17,21.89,14.28, 0.00
"SHANTOU, CH",2020-01-16,17.5,22.0,14.0, 0.00
"SHANTOU, CH",2020-01-17,15.72,21.5,11.0, 0.00
"SHANTOU, CH",2020-01-18,15.17,19.78,11.61, 0.00
"SHANTOU, CH",2020-01-19,15.5,19.78,11.61, 0.00
"SHANTOU, CH",2020-01-20,16.28,21.0,12.0, 0.00
"SHANTOU, CH",2020-01-21,17.06,20.72,14.0, 0.00
"SHANTOU, CH",2020-01-22,19.61,22.0,14.39, 0.02
"SHANTOU, CH",2020-01-23,21.61,26.0,17.28, 0.00
"SHANTOU, CH",2020-01-24,19.22,24.78,17.0, 0.00
"SHANTOU, CH",2020-01-25,17.72,22.61,15.0, 2.62
"SHANTOU, CH",2020-01-26,13.39,21.78,8.0, 0.31
"SHANTOU, CH",2020-01-27,12.17,18.39,9.78, 0.00
"SHANTOU, CH",2020-01-28,10.56,16.72,8.0, 0.00
"SHANTOU, CH",2020-01-29,11.33,16.22,7.0, 0.00
"SHANTOU, CH",2020-01-30,11.72,18.89,5.0, 0.00
"SHANTOU, CH",2020-01-31,12.0,18.89,6.0, 0.00
"SHANTOU, CH",2020-02-01,13.78,19.0,8.0, 0.00
"SHANTOU, CH",2020-02-02,14.61,19.11,10.22, 0.00
"SHANTOU, CH",2020-02-03,16.06,20.0,12.11, 0.00
"SHANTOU, CH",2020-02-04,14.67,19.78,13.0, 0.05
"SHANTOU, CH",2020-02-05,15.56,19.22,12.0, 0.00
"SHANTOU, CH",2020-02-06,16.28,19.22,13.89, 0.00
"SHANTOU, CH",2020-02-07,16.72,21.0,14.72, 0.00
"SHANTOU, CH",2020-02-08,15.22,19.5,13.0, 0.00
"SHANTOU, CH",2020-02-09,14.89,18.61,13.0, 0.00
"SHANTOU, CH",2020-02-10,16.61,20.0,12.39, 0.00
"SHANTOU, CH",2020-02-11,17.61,20.22,13.5, 0.03
"SHANTOU, CH",2020-02-12,20.72,26.0,16.11, 0.04
"SHANTOU, CH",2020-02-13,19.06,25.89,17.39, 0.01
"SHANTOU, CH",2020-02-14,18.72,21.39,17.72, 0.70
"SHANTOU, CH",2020-02-15,19.39,25.0,12.0, 0.36
"SHANTOU, CH",2020-02-16,10.72,23.72,8.0, 0.62
"SHANTOU, CH",2020-02-17,11.78,17.0,8.0, 0.00
"SHANTOU, CH",2020-02-18,12.39,18.0,7.0, 0.00
"SHANTOU, CH",2020-02-19,13.94,19.0,9.0, 0.00
"SHANTOU, CH",2020-02-20,16.06,21.0,11.0, 0.00
"SHANTOU, CH",2020-02-21,17.39,24.0,12.0, 0.00
"SHANTOU, CH",2020-02-22,17.78,24.0,13.0, 0.00
"SHANTOU, CH",2020-02-23,18.39,25.0,13.0, 0.00
"SHANTOU, CH",2020-02-24,19.78,24.0,14.61, 0.00
"SHANTOU, CH",2020-02-25,22.33,27.0,16.61, 0.00
"SHANTOU, CH",2020-02-26,23.17,30.0,17.89, 0.00
"SHANTOU, CH",2020-02-27,18.39,29.5,16.0, 0.00
"SHANTOU, CH",2020-02-28,20.0,25.0,16.22, 0.00
"SHANTOU, CH",2020-02-29,22.44,28.0,17.28, 0.00
"SHANTOU, CH",2020-03-01,22.61,28.78,18.0, 0.00
"SHANTOU, CH",2020-03-02,17.67,28.78,16.0, 0.00
