NAME,DATE,TAVG,TMAX,TMIN,PRCP
"BEIJING CAPITAL INTERNATIONAL AIRPORT, CH",2020-01-01,-6.5,0.61,-11.89, 0.00
"BEIJING CAPITAL INTERNATIONAL AIRPORT, CH",2020-01-02,-2.72,4.22,-10.39, 0.00
"BEIJING CAPITAL INTERNATIONAL AIRPORT, CH",2020-01-03,-1.39,7.72,-8.0, 0.00
"BEIJING CAPITAL INTERNATIONAL AIRPORT, CH",2020-01-04,0.22,10.0,-8.0, 0.00
"BEIJING CAPITAL INTERNATIONAL AIRPORT, CH",2020-01-05,0.0,9.61,-6.0, 0.19
"BEIJING CAPITAL INTERNATIONAL AIRPORT, CH",2020-01-06,0.5,3.5,-3.72, 0.01
"BEIJING CAPITAL INTERNATIONAL AIRPORT, CH",2020-01-07,0.0,3.5,-6.0, 0.00
"BEIJING CAPITAL INTERNATIONAL AIRPORT, CH",2020-01-08,-2.0,5.78,-7.0, 0.00
"BEIJING CAPITAL INTERNATIONAL AIRPORT, CH",2020-01-09,-3.0,5.78,-8.0, 0.00
"BEIJING CAPITAL INTERNATIONAL AIRPORT, CH",2020-01-10,0.5,6.61,-6.28, 0.00
"BEIJING CAPITAL INTERNATIONAL AIRPORT, CH",2020-01-11,-2.72,6.61,-7.0, 0.00
"BEIJING CAPITAL INTERNATIONAL AIRPORT, CH",2020-01-12,-3.56,2.39,-10.0, 0.00
"BEIJING CAPITAL INTERNATIONAL AIRPORT, CH",2020-01-13,-3.33,2.39,-9.0, 0.00
"BEIJING CAPITAL INTERNATIONAL AIRPORT, CH",2020-01-14,-5.94,1.11,-12.0, 0.00
"BEIJING CAPITAL INTERNATIONAL AIRPORT, CH",2020-01-15,-3.17,2.0,-10.0, 0.00
"BEIJING CAPITAL INTERNATIONAL AIRPORT, CH",2020-01-16,-3.89,2.28,-10.0, 0.00
"BEIJING CAPITAL INTERNATIONAL AIRPORT, CH",2020-01-17,-3.17,4.0,-10.0, 0.00
"BEIJING CAPITAL INTERNATIONAL AIRPORT, CH",2020-01-18,-3.22,3.22,-10.0, 0.00
"BEIJING CAPITAL INTERNATIONAL AIRPORT, CH",2020-01-19,1.72,6.0,-9.0, 0.00
"BEIJING CAPITAL INTERNATIONAL AIRPORT, CH",2020-01-20,-1.83,6.22,-10.0, 0.00
"BEIJING CAPITAL INTERNATIONAL AIRPORT, CH",2020-01-21,-2.28,6.22,-9.0, 0.00
"BEIJING CAPITAL INTERNATIONAL AIRPORT, CH",2020-01-22,-2.28,6.11,-8.0, 0.00
"BEIJING CAPITAL INTERNATIONAL AIRPORT, CH",2020-01-23,0.11,9.0,-8.0, 0.00
"BEIJING CAPITAL INTERNATIONAL AIRPORT, CH",2020-01-24,-2.67,8.72,-9.0, 0.00
"BEIJING CAPITAL INTERNATIONAL AIRPORT, CH",2020-01-25,-2.39,6.0,-11.0, 0.00
"BEIJING CAPITAL INTERNATIONAL AIRPORT, CH",2020-01-26,-2.0,5.0,-10.0, 0.00
"BEIJING CAPITAL INTERNATIONAL AIRPORT, CH",2020-01-27,-0.06,6.0,-5.5, 0.00
"BEIJING CAPITAL INTERNATIONAL AIRPORT, CH",2020-01-28,0.61,7.0,-4.22, 0.00
"BEIJING CAPITAL INTERNATIONAL AIRPORT, CH",2020-01-29,-0.28,9.0,-9.0, 0.00
"BEIJING CAPITAL INTERNATIONAL AIRPORT, CH",2020-01-30,-1.06,8.39,-9.0, 0.00
"BEIJING CAPITAL INTERNATIONAL AIRPORT, CH",2020-01-31,2.33,10.0,-9.0, 0.00
"BEIJING CAPITAL INTERNATIONAL AIRPORT, CH",2020-02-01,1.56,8.89,-5.5, 0.04
"BEIJING CAPITAL INTERNATIONAL AIRPORT, CH",2020-02-02,-2.83,4.78,-12.0, 0.01
"BEIJING CAPITAL INTERNATIONAL AIRPORT, CH",2020-02-03,-2.56,3.61,-11.0, 0.00
"BEIJING CAPITAL INTERNATIONAL AIRPORT, CH",2020-02-04,-4.11,3.61,-11.0, 0.00
"BEIJING CAPITAL INTERNATIONAL AIRPORT, CH",2020-02-05,-6.0,2.72,-8.78, 0.11
"BEIJING CAPITAL INTERNATIONAL AIRPORT, CH",2020-02-06,-6.06,-3.61,-10.0, 0.05
"BEIJING CAPITAL INTERNATIONAL AIRPORT, CH",2020-02-07,-4.39,2.0,-10.0, 0.00
"BEIJING CAPITAL INTERNATIONAL AIRPORT, CH",2020-02-08,-0.61,7.5,-9.0, 0.00
"BEIJING CAPITAL INTERNATIONAL AIRPORT, CH",2020-02-09,-0.5,9.0,-7.0, 0.00
"BEIJING CAPITAL INTERNATIONAL AIRPORT, CH",2020-02-10,1.78,12.72,-5.0, 0.00
"BEIJING CAPITAL INTERNATIONAL AIRPORT, CH",2020-02-11,2.11,12.72,-4.22, 0.00
"BEIJING CAPITAL INTERNATIONAL AIRPORT, CH",2020-02-12,2.78,12.0,-4.0, 0.00
"BEIJING CAPITAL INTERNATIONAL AIRPORT, CH",2020-02-13,5.61,11.78,-2.0, 0.17
"BEIJING CAPITAL INTERNATIONAL AIRPORT, CH",2020-02-14,-1.39,8.72,-5.0, 0.99
