NAME,DATE,TAVG,TMAX,TMIN,PRCP
"CHANGSHA, CH",2020-01-01,5.22,7.11,2.39,0.0
"CHANGSHA, CH",2020-01-02,4.22,7.11,3.39,0.51
"CHANGSHA, CH",2020-01-03,4.61,5.0,3.89,0.25
"CHANGSHA, CH",2020-01-04,6.39,7.89,4.28,0.0
"CHANGSHA, CH",2020-01-05,9.28,14.89,4.78,0.0
"CHANGSHA, CH",2020-01-06,6.28,14.89,4.39,14.48
"CHANGSHA, CH",2020-01-07,5.56,10.22,3.5,0.76
"CHANGSHA, CH",2020-01-08,5.5,10.22,2.5,0.0
"CHANGSHA, CH",2020-01-09,3.0,9.78,2.39,1.78
"CHANGSHA, CH",2020-01-10,2.56,3.61,2.22,15.49
"CHANGSHA, CH",2020-01-11,2.44,5.61,-1.89,3.3
"CHANGSHA, CH",2020-01-12,3.56,9.5,-2.39,0.0
"CHANGSHA, CH",2020-01-13,6.56,9.5,-2.22,0.0
"CHANGSHA, CH",2020-01-14,5.61,9.0,3.0,9.91
"CHANGSHA, CH",2020-01-15,3.11,6.78,1.39,16.26
"CHANGSHA, CH",2020-01-16,2.11,5.22,1.22,1.27
"CHANGSHA, CH",2020-01-17,3.72,5.78,0.5,0.0
"CHANGSHA, CH",2020-01-18,4.17,5.78,0.72,0.0
"CHANGSHA, CH",2020-01-19,5.72,11.61,1.5,0.0
"CHANGSHA, CH",2020-01-20,8.44,11.61,1.5,0.0
"CHANGSHA, CH",2020-01-21,8.33,11.5,3.89,0.0
"CHANGSHA, CH",2020-01-22,6.67,9.61,5.72,16.76
"CHANGSHA, CH",2020-01-23,6.11,7.5,5.78,24.38
"CHANGSHA, CH",2020-01-24,5.89,7.11,4.22,28.19
"CHANGSHA, CH",2020-01-25,3.61,7.11,2.61,15.75
"CHANGSHA, CH",2020-01-26,3.39,4.5,2.61,0.25
"CHANGSHA, CH",2020-01-27,3.06,5.61,0.39,0.0
"CHANGSHA, CH",2020-01-28,4.06,9.72,-0.22,0.0
"CHANGSHA, CH",2020-01-29,5.5,13.22,-0.39,0.0
"CHANGSHA, CH",2020-01-30,7.39,15.22,-0.22,0.0
"CHANGSHA, CH",2020-01-31,9.94,15.89,0.72,0.0
"CHANGSHA, CH",2020-02-01,9.56,15.89,1.89,1.78
"CHANGSHA, CH",2020-02-02,7.78,12.5,7.11,5.33
"CHANGSHA, CH",2020-02-03,9.06,11.5,7.11,0.76
"CHANGSHA, CH",2020-02-04,10.89,16.0,7.11,0.0
"CHANGSHA, CH",2020-02-05,11.94,17.39,6.61,15.49
"CHANGSHA, CH",2020-02-06,4.83,17.39,3.0,29.21
