NAME,DATE,TAVG,TMAX,TMIN,PRCP
"SHUANGLIU, CH",2020-01-01,8.89,10.0,8.0,99.99
"SHUANGLIU, CH",2020-01-02,9.11,10.0,7.0,99.99
"SHUANGLIU, CH",2020-01-03,9.61,14.0,6.0, 0.00
"SHUANGLIU, CH",2020-01-04,9.44,12.0,8.0,99.99
"SHUANGLIU, CH",2020-01-05,9.06,10.0,8.0,99.99
"SHUANGLIU, CH",2020-01-06,7.78,11.0,3.0,99.99
"SHUANGLIU, CH",2020-01-07,9.0,15.0,2.0, 0.00
"SHUANGLIU, CH",2020-01-08,9.72,12.0,5.0, 0.00
"SHUANGLIU, CH",2020-01-09,8.89,10.0,8.0,99.99
"SHUANGLIU, CH",2020-01-10,8.33,10.0,5.0, 0.00
"SHUANGLIU, CH",2020-01-11,8.78,15.0,3.0, 0.00
"SHUANGLIU, CH",2020-01-12,10.5,14.0,7.0, 0.00
"SHUANGLIU, CH",2020-01-13,8.89,10.0,8.0,99.99
"SHUANGLIU, CH",2020-01-14,8.33,11.0,7.0,99.99
"SHUANGLIU, CH",2020-01-15,7.0,8.0,6.0,99.99
"SHUANGLIU, CH",2020-01-16,9.61,14.0,6.0, 0.00
"SHUANGLIU, CH",2020-01-17,8.44,11.0,7.0,99.99
"SHUANGLIU, CH",2020-01-18,7.56,9.0,6.0,99.99
"SHUANGLIU, CH",2020-01-19,9.33,13.0,6.0, 0.00
"SHUANGLIU, CH",2020-01-20,9.61,14.0,6.0, 0.00
"SHUANGLIU, CH",2020-01-21,10.06,12.0,5.0, 0.00
"SHUANGLIU, CH",2020-01-22,10.56,13.0,8.0,99.99
"SHUANGLIU, CH",2020-01-23,9.39,11.0,8.0,99.99
"SHUANGLIU, CH",2020-01-24,9.28,13.0,7.0,99.99
"SHUANGLIU, CH",2020-01-25,9.72,13.0,7.0, 0.00
"SHUANGLIU, CH",2020-01-26,8.0,10.0,6.0,99.99
"SHUANGLIU, CH",2020-01-27,6.83,8.0,6.0,99.99
"SHUANGLIU, CH",2020-01-28,5.61,9.0,1.0,99.99
"SHUANGLIU, CH",2020-01-29,7.89,13.0,2.0, 0.00
"SHUANGLIU, CH",2020-01-30,9.17,13.0,7.0,99.99
"SHUANGLIU, CH",2020-01-31,8.11,9.0,7.0,99.99
"SHUANGLIU, CH",2020-02-01,8.83,10.0,8.0,99.99
"SHUANGLIU, CH",2020-02-02,9.0,12.0,6.0,99.99
"SHUANGLIU, CH",2020-02-03,10.11,14.0,6.0, 0.00
"SHUANGLIU, CH",2020-02-04,11.39,14.0,9.0, 0.00
"SHUANGLIU, CH",2020-02-05,9.78,12.0,6.0,99.99
"SHUANGLIU, CH",2020-02-06,11.5,16.0,7.0, 0.00
"SHUANGLIU, CH",2020-02-07,9.28,10.0,8.0,99.99
"SHUANGLIU, CH",2020-02-08,9.44,12.0,7.0,99.99
"SHUANGLIU, CH",2020-02-09,11.72,17.0,6.0, 0.00
"SHUANGLIU, CH",2020-02-10,12.06,16.0,6.0, 0.00
"SHUANGLIU, CH",2020-02-11,12.33,18.0,6.0, 0.00
"SHUANGLIU, CH",2020-02-12,13.67,17.0,9.0, 0.00
"SHUANGLIU, CH",2020-02-13,15.33,18.0,12.0, 0.00
"SHUANGLIU, CH",2020-02-14,13.17,16.0,10.0,99.99
"SHUANGLIU, CH",2020-02-15,5.17,9.0,1.0, 0.00
"SHUANGLIU, CH",2020-02-16,8.83,13.0,1.0, 0.00
"SHUANGLIU, CH",2020-02-17,8.78,13.0,4.0, 0.00
"SHUANGLIU, CH",2020-02-18,8.56,12.0,4.0,99.99
"SHUANGLIU, CH",2020-02-19,10.72,15.0,4.0, 0.00
"SHUANGLIU, CH",2020-02-20,9.44,12.0,4.0,99.99
"SHUANGLIU, CH",2020-02-21,12.11,16.0,5.0, 0.00
