NAME,DATE,TAVG,TMAX,TMIN,PRCP
"JIANGBEI, CH",2020-01-01,10.72,13.28,9.0,0.0
"JIANGBEI, CH",2020-01-02,11.0,13.39,9.0,0.0
"JIANGBEI, CH",2020-01-03,11.61,14.89,8.0,0.0
"JIANGBEI, CH",2020-01-04,10.17,14.89,8.0,1.02
"JIANGBEI, CH",2020-01-05,9.83,12.28,9.0,2.54
"JIANGBEI, CH",2020-01-06,9.17,11.5,6.0,1.52
"JIANGBEI, CH",2020-01-07,10.28,14.5,6.0,0.0
"JIANGBEI, CH",2020-01-08,8.44,14.5,6.89,3.05
"JIANGBEI, CH",2020-01-09,9.5,12.78,8.0,0.51
"JIANGBEI, CH",2020-01-10,9.11,12.78,7.0,0.0
"JIANGBEI, CH",2020-01-11,8.5,13.22,4.0,0.0
"JIANGBEI, CH",2020-01-12,9.5,15.11,4.0,0.0
"JIANGBEI, CH",2020-01-13,10.17,15.11,5.89,0.0
"JIANGBEI, CH",2020-01-14,8.83,12.78,7.0,0.0
"JIANGBEI, CH",2020-01-15,8.28,10.61,7.0,0.0
"JIANGBEI, CH",2020-01-16,8.33,10.72,5.0,0.0
"JIANGBEI, CH",2020-01-17,8.89,12.11,7.0,0.0
"JIANGBEI, CH",2020-01-18,7.89,12.11,5.0,0.0
"JIANGBEI, CH",2020-01-19,8.06,13.89,5.0,0.0
"JIANGBEI, CH",2020-01-20,9.67,13.89,5.28,0.0
"JIANGBEI, CH",2020-01-21,10.28,13.28,7.78,0.0
"JIANGBEI, CH",2020-01-22,11.11,14.0,9.0,0.0
"JIANGBEI, CH",2020-01-23,10.39,14.0,8.0,0.0
"JIANGBEI, CH",2020-01-24,8.72,13.5,7.0,0.76
"JIANGBEI, CH",2020-01-25,7.61,11.11,6.0,4.57
"JIANGBEI, CH",2020-01-26,7.33,11.22,6.0,3.56
"JIANGBEI, CH",2020-01-27,8.56,12.28,6.0,0.0
"JIANGBEI, CH",2020-01-28,8.67,12.61,6.0,0.0
"JIANGBEI, CH",2020-01-29,9.22,15.39,5.0,0.0
"JIANGBEI, CH",2020-01-30,8.94,15.39,5.0,1.27
"JIANGBEI, CH",2020-01-31,8.94,11.0,6.28,4.57
"JIANGBEI, CH",2020-02-01,8.72,10.72,8.0,0.0
"JIANGBEI, CH",2020-02-02,8.56,10.39,8.0,0.76
"JIANGBEI, CH",2020-02-03,8.44,11.0,5.0,3.05
"JIANGBEI, CH",2020-02-04,9.5,13.22,6.0,0.0
"JIANGBEI, CH",2020-02-05,9.89,13.22,7.11,0.51
"JIANGBEI, CH",2020-02-06,9.11,12.22,7.0,1.27
"JIANGBEI, CH",2020-02-07,10.33,13.22,8.0,0.0
"JIANGBEI, CH",2020-02-08,10.78,13.22,9.0,0.51
"JIANGBEI, CH",2020-02-09,10.83,13.39,9.0,0.25
"JIANGBEI, CH",2020-02-10,11.33,13.89,9.0,0.0
"JIANGBEI, CH",2020-02-11,11.17,16.28,7.0,0.0
"JIANGBEI, CH",2020-02-12,13.06,19.0,7.0,0.0
"JIANGBEI, CH",2020-02-13,14.39,19.78,7.61,0.0
"JIANGBEI, CH",2020-02-14,13.83,19.89,6.0,0.0
"JIANGBEI, CH",2020-02-15,4.44,19.89,3.0,2.29
"JIANGBEI, CH",2020-02-16,8.33,13.61,2.0,0.0
"JIANGBEI, CH",2020-02-17,9.72,14.0,4.0,0.0
"JIANGBEI, CH",2020-02-18,9.11,14.0,6.28,1.02
"JIANGBEI, CH",2020-02-19,9.17,13.5,6.0,0.51
"JIANGBEI, CH",2020-02-20,9.0,13.5,7.78,0.0
"JIANGBEI, CH",2020-02-21,10.61,13.22,8.0,0.0
"JIANGBEI, CH",2020-02-22,11.61,13.39,9.28,0.0
"JIANGBEI, CH",2020-02-23,10.67,13.39,10.0,2.29
"JIANGBEI, CH",2020-02-24,11.5,13.61,10.0,0.76
"JIANGBEI, CH",2020-02-25,12.17,16.28,9.0,0.0
"JIANGBEI, CH",2020-02-26,13.33,16.28,10.89,0.76
"JIANGBEI, CH",2020-02-27,13.11,15.78,11.61,1.52
"JIANGBEI, CH",2020-02-28,13.28,18.22,9.0,0.0
"JIANGBEI, CH",2020-02-29,13.5,18.72,9.0,0.0
"JIANGBEI, CH",2020-03-01,15.78,19.28,10.89,1.52
"JIANGBEI, CH",2020-03-02,11.22,19.28,9.0,3.3
"JIANGBEI, CH",2020-03-03,10.17,14.28,9.0,3.81
"JIANGBEI, CH",2020-03-04,10.28,13.78,7.0,4.83
"JIANGBEI, CH",2020-03-05,12.33,15.72,9.0,0.0
"JIANGBEI, CH",2020-03-06,13.0,17.78,9.0,0.0
"JIANGBEI, CH",2020-03-07,16.06,20.0,10.89,0.0
"JIANGBEI, CH",2020-03-08,15.44,19.78,11.5,0.0
"JIANGBEI, CH",2020-03-09,13.28,18.0,10.0,0.0
"JIANGBEI, CH",2020-03-10,14.61,19.28,11.0,1.27
"JIANGBEI, CH",2020-03-11,12.06,19.28,10.0,1.02
"JIANGBEI, CH",2020-03-12,14.44,18.61,11.0,0.0
"JIANGBEI, CH",2020-03-13,14.06,18.61,12.0,0.25
"JIANGBEI, CH",2020-03-14,14.22,19.39,11.0,0.0
"JIANGBEI, CH",2020-03-15,14.5,19.39,12.0,0.0
"JIANGBEI, CH",2020-03-16,13.72,16.72,12.0,0.76
"JIANGBEI, CH",2020-03-17,13.83,19.89,9.0,0.25
"JIANGBEI, CH",2020-03-18,17.0,22.78,10.72,0.0
"JIANGBEI, CH",2020-03-19,19.5,26.0,11.39,0.0
"JIANGBEI, CH",2020-03-20,21.89,27.78,13.61,0.0
"JIANGBEI, CH",2020-03-21,21.44,29.11,15.0,0.0
"JIANGBEI, CH",2020-03-22,20.94,29.11,15.0,0.0
"JIANGBEI, CH",2020-03-23,22.06,27.61,16.78,0.0
"JIANGBEI, CH",2020-03-24,21.89,28.28,17.0,29.97
"JIANGBEI, CH",2020-03-25,22.22,28.28,17.0,5.08
"JIANGBEI, CH",2020-03-26,22.5,30.89,12.0,8.89
"JIANGBEI, CH",2020-03-27,13.33,14.72,12.0,2.54
"JIANGBEI, CH",2020-03-28,11.06,14.89,9.0,2.29
"JIANGBEI, CH",2020-03-29,11.61,14.89,10.0,2.79
"JIANGBEI, CH",2020-03-30,13.28,16.61,10.89,0.0
"JIANGBEI, CH",2020-03-31,15.33,19.61,11.89,0.0
"JIANGBEI, CH",2020-04-01,15.06,19.61,14.0,0.0
"JIANGBEI, CH",2020-04-02,15.5,17.89,13.0,0.0
"JIANGBEI, CH",2020-04-03,14.33,17.89,12.0,0.0
"JIANGBEI, CH",2020-04-04,12.28,17.22,11.0,7.11
"JIANGBEI, CH",2020-04-05,12.22,13.78,11.0,5.84
"JIANGBEI, CH",2020-04-06,14.78,17.28,11.0,0.0
"JIANGBEI, CH",2020-04-07,17.89,23.11,12.0,0.51
"JIANGBEI, CH",2020-04-08,16.5,23.11,12.0,1.52
"JIANGBEI, CH",2020-04-09,20.17,27.5,13.61,0.25
"JIANGBEI, CH",2020-04-10,17.22,27.5,14.72,1.52
"JIANGBEI, CH",2020-04-11,16.56,21.5,13.0,0.51
"JIANGBEI, CH",2020-04-12,18.94,24.39,14.11,0.0
"JIANGBEI, CH",2020-04-13,15.67,24.39,12.0,0.25
"JIANGBEI, CH",2020-04-14,18.17,24.72,13.0,0.0
"JIANGBEI, CH",2020-04-15,22.44,29.0,14.22,0.0
"JIANGBEI, CH",2020-04-16,23.78,29.61,16.0,0.0
"JIANGBEI, CH",2020-04-17,20.0,29.61,17.0,5.59
"JIANGBEI, CH",2020-04-18,16.89,25.11,16.0,1.52
"JIANGBEI, CH",2020-04-19,18.94,22.28,16.0,5.59
"JIANGBEI, CH",2020-04-20,16.72,22.28,14.0,1.78
"JIANGBEI, CH",2020-04-21,14.06,19.78,12.0,12.7
"JIANGBEI, CH",2020-04-22,11.83,15.72,10.0,19.05
"JIANGBEI, CH",2020-04-23,11.44,13.61,10.0,5.33
"JIANGBEI, CH",2020-04-24,15.39,20.39,11.39,0.25
"JIANGBEI, CH",2020-04-25,16.44,22.0,12.0,0.0
"JIANGBEI, CH",2020-04-26,20.06,27.5,12.78,0.0
"JIANGBEI, CH",2020-04-27,22.39,30.61,14.22,0.0
"JIANGBEI, CH",2020-04-28,24.94,32.5,15.39,0.0
"JIANGBEI, CH",2020-04-29,25.06,32.5,17.78,4.57
"JIANGBEI, CH",2020-04-30,20.5,32.39,17.0,1.02
"JIANGBEI, CH",2020-05-01,23.89,30.28,18.0,0.0
"JIANGBEI, CH",2020-05-02,26.44,33.72,19.39,0.0
"JIANGBEI, CH",2020-05-03,29.5,36.22,20.5,0.0
"JIANGBEI, CH",2020-05-04,27.94,36.39,22.0,0.0
"JIANGBEI, CH",2020-05-05,27.11,36.39,21.0,6.6
"JIANGBEI, CH",2020-05-06,27.22,33.78,22.11,0.0
"JIANGBEI, CH",2020-05-07,27.17,33.78,21.0,0.0
"JIANGBEI, CH",2020-05-08,23.28,33.78,20.0,0.25
"JIANGBEI, CH",2020-05-09,20.5,29.11,17.0,0.0
"JIANGBEI, CH",2020-05-10,23.72,29.61,17.0,4.57
"JIANGBEI, CH",2020-05-11,19.5,29.61,17.0,5.59
"JIANGBEI, CH",2020-05-12,21.89,26.89,18.0,0.0
"JIANGBEI, CH",2020-05-13,19.0,26.89,18.0,6.86
"JIANGBEI, CH",2020-05-14,19.22,21.89,17.0,10.92
"JIANGBEI, CH",2020-05-15,24.17,30.0,18.5,0.51
"JIANGBEI, CH",2020-05-16,25.5,30.0,20.11,0.0
"JIANGBEI, CH",2020-05-17,26.17,32.61,21.0,0.0
"JIANGBEI, CH",2020-05-18,29.06,34.89,21.39,0.0
"JIANGBEI, CH",2020-05-19,29.89,35.39,23.0,0.0
"JIANGBEI, CH",2020-05-20,24.06,35.39,21.0,5.08
"JIANGBEI, CH",2020-05-21,22.33,27.5,21.0,6.86
"JIANGBEI, CH",2020-05-22,24.83,29.78,21.0,0.0
"JIANGBEI, CH",2020-05-23,28.39,34.5,21.61,0.25
"JIANGBEI, CH",2020-05-24,21.33,34.5,18.0,9.91
"JIANGBEI, CH",2020-05-25,18.89,24.89,17.0,0.76
"JIANGBEI, CH",2020-05-26,20.94,25.11,18.72,0.0
"JIANGBEI, CH",2020-05-27,21.28,25.61,18.0,1.02
"JIANGBEI, CH",2020-05-28,21.0,26.11,18.0,0.0
"JIANGBEI, CH",2020-05-29,24.11,30.28,19.0,0.0
