NAME,DATE,TAVG,TMAX,TMIN,PRCP
"FUZHOU, CH",2020-01-01,12.78,17.89,7.5,0.0
"FUZHOU, CH",2020-01-02,15.44,20.39,8.78,0.0
"FUZHOU, CH",2020-01-03,16.39,22.11,11.78,0.0
"FUZHOU, CH",2020-01-04,16.94,22.5,13.0,0.0
"FUZHOU, CH",2020-01-05,17.39,22.5,14.72,0.0
"FUZHOU, CH",2020-01-06,19.0,27.0,16.0,0.0
"FUZHOU, CH",2020-01-07,17.61,27.0,12.0,0.0
"FUZHOU, CH",2020-01-08,14.61,23.22,11.28,0.0
"FUZHOU, CH",2020-01-09,13.67,20.89,10.78,0.0
"FUZHOU, CH",2020-01-10,15.17,17.72,11.5,0.0
"FUZHOU, CH",2020-01-11,14.56,19.5,11.11,0.25
"FUZHOU, CH",2020-01-12,11.83,19.5,9.72,0.0
"FUZHOU, CH",2020-01-13,11.83,16.5,9.0,0.0
"FUZHOU, CH",2020-01-14,13.56,19.28,7.78,0.0
"FUZHOU, CH",2020-01-15,12.0,19.28,9.28,0.0
"FUZHOU, CH",2020-01-16,14.44,20.11,10.89,2.29
"FUZHOU, CH",2020-01-17,11.5,20.11,8.22,7.11
"FUZHOU, CH",2020-01-18,9.67,12.72,7.0,2.29
"FUZHOU, CH",2020-01-19,12.11,16.72,7.0,0.0
"FUZHOU, CH",2020-01-20,12.28,16.72,8.28,0.0
"FUZHOU, CH",2020-01-21,13.61,17.0,9.72,0.0
"FUZHOU, CH",2020-01-22,16.61,21.22,10.78,0.0
"FUZHOU, CH",2020-01-23,15.39,22.11,11.89,0.51
"FUZHOU, CH",2020-01-24,13.5,22.11,12.72,0.76
"FUZHOU, CH",2020-01-25,14.06,17.22,12.72,5.08
"FUZHOU, CH",2020-01-26,13.22,17.22,9.72,9.4
"FUZHOU, CH",2020-01-27,12.72,17.0,9.28,0.0
"FUZHOU, CH",2020-01-28,10.78,14.0,8.61,0.0
"FUZHOU, CH",2020-01-29,9.72,15.11,4.89,0.0
"FUZHOU, CH",2020-01-30,9.39,15.11,4.28,0.0
"FUZHOU, CH",2020-01-31,9.89,16.11,3.89,0.0
"FUZHOU, CH",2020-02-01,10.67,16.11,3.72,0.0
"FUZHOU, CH",2020-02-02,12.0,16.11,5.78,0.25
"FUZHOU, CH",2020-02-03,10.39,13.5,8.61,9.14
"FUZHOU, CH",2020-02-04,11.33,12.0,8.89,3.56
"FUZHOU, CH",2020-02-05,12.06,14.0,9.28,0.0
"FUZHOU, CH",2020-02-06,10.28,13.0,8.61,3.05
"FUZHOU, CH",2020-02-07,12.22,15.0,8.61,0.25
"FUZHOU, CH",2020-02-08,11.17,14.22,9.39,0.0
"FUZHOU, CH",2020-02-09,10.06,15.0,5.72,0.0
"FUZHOU, CH",2020-02-10,13.17,18.22,5.39,0.0
"FUZHOU, CH",2020-02-11,15.0,20.5,6.78,0.0
"FUZHOU, CH",2020-02-12,16.11,20.61,11.78,13.21
"FUZHOU, CH",2020-02-13,15.5,20.61,14.0,0.0
"FUZHOU, CH",2020-02-14,15.83,18.22,15.0,21.59
"FUZHOU, CH",2020-02-15,15.83,20.89,11.0,11.43
