NAME,DATE,TAVG,TMAX,TMIN,PRCP
"XIAOSHAN, CH",2020-01-01,7.78,11.0,-0.28,1.78
"XIAOSHAN, CH",2020-01-02,9.72,11.28,1.22,0.0
"XIAOSHAN, CH",2020-01-03,9.28,11.28,7.39,4.32
"XIAOSHAN, CH",2020-01-04,10.0,11.0,8.39,3.56
"XIAOSHAN, CH",2020-01-05,12.44,17.0,9.0,0.0
"XIAOSHAN, CH",2020-01-06,16.17,25.0,9.61,0.0
"XIAOSHAN, CH",2020-01-07,10.56,24.5,5.22,0.25
"XIAOSHAN, CH",2020-01-08,5.89,18.39,3.0,0.0
"XIAOSHAN, CH",2020-01-09,6.33,10.0,4.0,6.6
"XIAOSHAN, CH",2020-01-10,8.11,9.0,4.89,23.62
"XIAOSHAN, CH",2020-01-11,6.5,8.11,5.0,3.3
"XIAOSHAN, CH",2020-01-12,5.5,10.0,1.0,0.0
"XIAOSHAN, CH",2020-01-13,7.39,10.0,2.28,0.0
"XIAOSHAN, CH",2020-01-14,5.89,9.22,2.0,0.0
"XIAOSHAN, CH",2020-01-15,6.56,8.89,4.5,27.43
"XIAOSHAN, CH",2020-01-16,6.0,7.22,4.28,13.72
"XIAOSHAN, CH",2020-01-17,5.28,6.28,4.11,0.25
"XIAOSHAN, CH",2020-01-18,5.0,6.11,3.72,0.0
"XIAOSHAN, CH",2020-01-19,5.22,10.39,1.0,0.0
"XIAOSHAN, CH",2020-01-20,6.39,13.0,2.0,0.0
"XIAOSHAN, CH",2020-01-21,8.78,12.89,2.78,0.25
"XIAOSHAN, CH",2020-01-22,8.28,10.78,4.78,13.21
"XIAOSHAN, CH",2020-01-23,8.67,10.0,7.39,43.18
"XIAOSHAN, CH",2020-01-24,8.11,9.28,6.89,14.99
"XIAOSHAN, CH",2020-01-25,7.0,8.5,5.72,41.15
"XIAOSHAN, CH",2020-01-26,7.06,9.0,4.72,29.46
"XIAOSHAN, CH",2020-01-27,5.28,7.72,4.0,0.51
"XIAOSHAN, CH",2020-01-28,5.78,7.28,3.72,0.0
"XIAOSHAN, CH",2020-01-29,7.67,11.0,3.72,0.0
"XIAOSHAN, CH",2020-01-30,6.28,11.0,0.0,0.0
"XIAOSHAN, CH",2020-01-31,5.11,11.39,0.0,0.0
"XIAOSHAN, CH",2020-02-01,7.28,13.72,0.61,0.0
"XIAOSHAN, CH",2020-02-02,9.61,13.72,2.78,0.51
"XIAOSHAN, CH",2020-02-03,9.11,13.0,6.0,0.0
"XIAOSHAN, CH",2020-02-04,7.33,12.72,3.0,0.0
"XIAOSHAN, CH",2020-02-05,8.94,13.0,4.72,0.0
"XIAOSHAN, CH",2020-02-06,6.0,12.78,4.39,18.29
"XIAOSHAN, CH",2020-02-07,6.72,7.5,4.39,2.79
"XIAOSHAN, CH",2020-02-08,7.44,9.0,5.0,0.0
"XIAOSHAN, CH",2020-02-09,6.83,13.0,3.0,0.0
"XIAOSHAN, CH",2020-02-10,11.39,16.22,3.89,8.64
"XIAOSHAN, CH",2020-02-11,10.61,16.22,4.72,6.86
"XIAOSHAN, CH",2020-02-12,12.78,15.22,8.28,0.0
"XIAOSHAN, CH",2020-02-13,14.28,18.0,10.5,0.51
"XIAOSHAN, CH",2020-02-14,14.78,18.22,13.0,8.13
"XIAOSHAN, CH",2020-02-15,5.72,18.22,0.89,21.34
