NAME,DATE,TAVG,TMAX,TMIN,PRCP
"JINAN TSINAN, CH",2020-01-01,0.44,4.72,-10.0,0.0
"JINAN TSINAN, CH",2020-01-02,1.28,6.72,-2.28,0.0
"JINAN TSINAN, CH",2020-01-03,2.78,7.78,-2.0,0.0
"JINAN TSINAN, CH",2020-01-04,4.72,9.78,-0.89,0.0
"JINAN TSINAN, CH",2020-01-05,2.5,9.78,0.61,11.43
"JINAN TSINAN, CH",2020-01-06,1.61,5.0,0.22,5.84
"JINAN TSINAN, CH",2020-01-07,-1.83,2.39,-5.28,11.68
"JINAN TSINAN, CH",2020-01-08,-2.44,2.72,-5.61,0.0
"JINAN TSINAN, CH",2020-01-09,0.44,5.72,-5.5,0.0
"JINAN TSINAN, CH",2020-01-10,0.61,5.72,-5.28,0.0
"JINAN TSINAN, CH",2020-01-11,-1.5,5.22,-4.89,0.0
"JINAN TSINAN, CH",2020-01-12,-1.72,2.78,-5.0,0.0
"JINAN TSINAN, CH",2020-01-13,-1.83,2.78,-4.61,0.0
"JINAN TSINAN, CH",2020-01-14,-2.94,2.0,-6.89,0.0
"JINAN TSINAN, CH",2020-01-15,-0.56,2.11,-6.61,0.0
"JINAN TSINAN, CH",2020-01-16,-0.17,2.28,-5.28,0.0
"JINAN TSINAN, CH",2020-01-17,-0.61,3.61,-4.22,0.0
"JINAN TSINAN, CH",2020-01-18,2.28,6.5,-3.78,0.0
"JINAN TSINAN, CH",2020-01-19,2.22,7.11,-2.5,0.0
"JINAN TSINAN, CH",2020-01-20,2.5,7.61,-1.61,0.0
"JINAN TSINAN, CH",2020-01-21,4.72,7.61,-1.5,0.0
"JINAN TSINAN, CH",2020-01-22,4.11,8.61,1.0,0.0
"JINAN TSINAN, CH",2020-01-23,4.0,8.61,0.5,0.0
"JINAN TSINAN, CH",2020-01-24,3.22,8.0,0.61,0.0
"JINAN TSINAN, CH",2020-01-25,3.61,8.61,0.11,0.0
"JINAN TSINAN, CH",2020-01-26,1.78,8.61,-0.11,0.0
"JINAN TSINAN, CH",2020-01-27,2.78,6.78,-0.39,0.0
"JINAN TSINAN, CH",2020-01-28,1.67,6.78,-1.72,0.0
"JINAN TSINAN, CH",2020-01-29,0.56,6.39,-2.39,0.0
"JINAN TSINAN, CH",2020-01-30,1.33,6.22,-2.61,0.0
"JINAN TSINAN, CH",2020-01-31,5.78,11.22,-1.89,0.0
"JINAN TSINAN, CH",2020-02-01,5.89,11.22,1.28,0.0
"JINAN TSINAN, CH",2020-02-02,1.83,10.22,-2.0,0.0
"JINAN TSINAN, CH",2020-02-03,4.5,8.11,-2.78,0.0
"JINAN TSINAN, CH",2020-02-04,0.89,8.11,-2.89,0.0
"JINAN TSINAN, CH",2020-02-05,-0.39,5.89,-3.89,0.0
"JINAN TSINAN, CH",2020-02-06,-0.39,3.22,-3.22,0.51
"JINAN TSINAN, CH",2020-02-07,3.33,6.78,-2.61,0.0
"JINAN TSINAN, CH",2020-02-08,3.83,8.22,0.22,0.0
"JINAN TSINAN, CH",2020-02-09,9.39,14.0,1.11,0.0
"JINAN TSINAN, CH",2020-02-10,12.56,17.5,4.72,0.0
"JINAN TSINAN, CH",2020-02-11,11.56,17.5,7.11,0.0
"JINAN TSINAN, CH",2020-02-12,12.67,17.5,7.11,0.0
"JINAN TSINAN, CH",2020-02-13,15.5,20.72,8.39,0.0
"JINAN TSINAN, CH",2020-02-14,2.56,12.61,-3.0,15.75
"JINAN TSINAN, CH",2020-02-15,-3.67,12.61,-5.61,0.0
"JINAN TSINAN, CH",2020-02-16,-1.28,2.61,-5.89,0.0
"JINAN TSINAN, CH",2020-02-17,1.89,6.0,-4.78,0.0
"JINAN TSINAN, CH",2020-02-18,8.72,13.22,-1.89,0.0
