NAME,DATE,TAVG,TMAX,TMIN,PRCP
"MOHE, CH",2020/1/1,-25.67,-14.5,-35.89,0
"MOHE, CH",2020/1/2,-23.72,-12.78,-35.39,0
"MOHE, CH",2020/1/3,-27.94,-12.78,-33.72,0
"MOHE, CH",2020/1/4,-23.22,-12.39,-33.89,0
"MOHE, CH",2020/1/5,-22.33,-11.72,-30.5,0
"MOHE, CH",2020/1/6,-27.94,-11.72,-33.39,0
"MOHE, CH",2020/1/7,-27.83,-17.28,-33.78,0
"MOHE, CH",2020/1/8,-25.33,-12.72,-33.0,0
"MOHE, CH",2020/1/9,-21.94,-12.72,-31.89,0
"MOHE, CH",2020/1/10,-17.83,-11.78,-31.28,0.02
"MOHE, CH",2020/1/11,-23.06,-11.78,-31.28,0.01
"MOHE, CH",2020/1/12,-19.11,-11.61,-31.28,0
"MOHE, CH",2020/1/13,-22.67,-10.11,-31.28,0
"MOHE, CH",2020/1/14,-28.44,-15.72,-34.61,0
"MOHE, CH",2020/1/15,-29.61,-15.0,-36.0,0
"MOHE, CH",2020/1/16,-27.83,-15.72,-36.0,0
"MOHE, CH",2020/1/17,-24.67,-13.78,-35.39,0
"MOHE, CH",2020/1/18,-27.22,-13.78,-34.72,0
"MOHE, CH",2020/1/19,-29.56,-14.22,-35.39,0
"MOHE, CH",2020/1/20,-28.78,-17.28,-35.28,0
"MOHE, CH",2020/1/21,-27.28,-17.78,-34.61,0
"MOHE, CH",2020/1/22,-21.5,-12.61,-34.78,0
"MOHE, CH",2020/1/23,-26.11,-12.61,-36.39,0
"MOHE, CH",2020/1/24,-28.72,-12.89,-37.39,0
"MOHE, CH",2020/1/25,-22.61,-10.89,-37.5,0
"MOHE, CH",2020/1/26,-19.67,-6.11,-30.39,0
"MOHE, CH",2020/1/27,-22.33,-6.11,-31.11,0
"MOHE, CH",2020/1/28,-24.78,-8.22,-32.89,0
"MOHE, CH",2020/1/29,-25.67,-10.39,-33.89,0
"MOHE, CH",2020/1/30,-22.72,-10.39,-33.5,0
"MOHE, CH",2020/1/31,-17.83,-11.39,-32.61,0.06
"MOHE, CH",2020/2/1,-16.44,-11.39,-28.5,0.09
"MOHE, CH",2020/2/2,-23.33,-12.28,-28.78,0
"MOHE, CH",2020/2/3,-27.5,-17.61,-32.78,0
"MOHE, CH",2020/2/4,-27.94,-19.5,-35.22,0
"MOHE, CH",2020/2/5,-23.39,-14.5,-38.22,0
"MOHE, CH",2020/2/6,-22.17,-13.61,-38.0,0
"MOHE, CH",2020/2/7,-27.94,-12.78,-36.0,0
"MOHE, CH",2020/2/8,-18.94,-12.78,-31.0,0
"MOHE, CH",2020/2/9,-19.28,-10.0,-31.11,0.01
"MOHE, CH",2020/2/10,-15.89,-7.39,-24.89,0
"MOHE, CH",2020/2/11,-15.0,-7.39,-25.22,0
"MOHE, CH",2020/2/12,-17.5,-6.89,-28.72,0.03
"MOHE, CH",2020/2/13,-23.94,-12.39,-32.78,0
"MOHE, CH",2020/2/14,-21.44,-7.72,-34.22,0
"MOHE, CH",2020/2/15,-18.44,-6.39,-32.39,0
"MOHE, CH",2020/2/16,-20.17,-5.0,-31.5,0
"MOHE, CH",2020/2/17,-12.28,-4.5,-28.39,0.04
"MOHE, CH",2020/2/18,-15.94,-4.5,-28.72,0.02
"MOHE, CH",2020/2/19,-21.39,-8.0,-32.0,0
"MOHE, CH",2020/2/20,-22.78,-6.28,-33.28,0
"MOHE, CH",2020/2/21,-21.17,-6.0,-33.11,0
"MOHE, CH",2020/2/22,-17.94,-4.22,-31.11,0
"MOHE, CH",2020/2/23,-14.11,-4.22,-29.11,0.02
"MOHE, CH",2020/2/24,-15.78,-2.61,-28.5,0
"MOHE, CH",2020/2/25,-16.61,-0.22,-29.11,0
"MOHE, CH",2020/2/26,-16.61,-0.22,-29.61,0
"MOHE, CH",2020/2/27,-16.78,-0.39,-29.5,0
"MOHE, CH",2020/2/28,-16.67,-1.0,-29.89,0
"MOHE, CH",2020/2/29,-16.94,-2.61,-29.0,0
"MOHE, CH",2020/3/1,-14.28,-2.61,-29.0,0
"MOHE, CH",2020/3/2,-13.22,-2.89,-24.22,0
"MOHE, CH",2020/3/3,-17.17,-3.61,-27.39,0
"MOHE, CH",2020/3/4,-12.94,-2.61,-27.39,0
"MOHE, CH",2020/3/5,-14.39,-2.61,-25.11,0
"MOHE, CH",2020/3/6,-13.72,-1.22,-25.61,0
"MOHE, CH",2020/3/7,-5.56,1.78,-16.0,0
"MOHE, CH",2020/3/8,-14.94,-4.72,-29.22,0
"MOHE, CH",2020/3/9,-15.78,-4.28,-30.0,0
"MOHE, CH",2020/3/10,-12.5,-0.78,-28.0,0
"MOHE, CH",2020/3/11,-9.39,-0.78,-22.28,0.22
"MOHE, CH",2020/3/12,-21.94,-13.72,-32.5,0.01
"MOHE, CH",2020/3/13,-10.5,-0.61,-23.39,0
"MOHE, CH",2020/3/14,-18.39,-8.72,-33.11,0
"MOHE, CH",2020/3/15,-11.44,-1.5,-26.0,0
"MOHE, CH",2020/3/16,-3.22,2.5,-13.5,0.02
"MOHE, CH",2020/3/17,0.83,5.39,-13.39,0.19
"MOHE, CH",2020/3/18,-3.5,5.39,-14.22,0.03
"MOHE, CH",2020/3/19,-3.61,6.0,-16.61,0
"MOHE, CH",2020/3/20,-4.22,6.0,-10.72,0.02
"MOHE, CH",2020/3/21,-7.83,2.61,-20.28,0.02
"MOHE, CH",2020/3/22,-8.44,1.61,-21.78,0
"MOHE, CH",2020/3/23,-2.67,8.89,-12.5,0
"MOHE, CH",2020/3/24,3.33,10.72,-12.39,0
"MOHE, CH",2020/3/25,3.39,12.5,-5.72,0
"MOHE, CH",2020/3/26,-8.56,-4.22,-17.5,0.02
"MOHE, CH",2020/3/27,-10.61,-2.78,-19.72,0
"MOHE, CH",2020/3/28,-2.89,3.22,-11.39,0
"MOHE, CH",2020/3/29,0.33,8.0,-11.28,0
"MOHE, CH",2020/3/30,-1.28,8.0,-9.28,0
"MOHE, CH",2020/3/31,1.72,6.0,-9.39,0
"MOHE, CH",2020/4/1,3.28,10.78,-6.5,0.03
"MOHE, CH",2020/4/2,-1.94,10.78,-8.61,0.04
"MOHE, CH",2020/4/3,-5.39,2.72,-14.61,0.04
"MOHE, CH",2020/4/4,-3.06,6.61,-14.61,0
"MOHE, CH",2020/4/5,-1.11,8.39,-11.0,0
"MOHE, CH",2020/4/6,0.44,8.39,-6.61,0
"MOHE, CH",2020/4/7,-2.06,6.78,-11.61,0
"MOHE, CH",2020/4/8,-1.56,7.5,-11.61,0
"MOHE, CH",2020/4/9,-0.06,11.11,-11.22,0
"MOHE, CH",2020/4/10,3.39,15.0,-11.28,0
"MOHE, CH",2020/4/11,5.0,17.89,-8.78,0
"MOHE, CH",2020/4/12,8.0,21.0,-8.39,0
"MOHE, CH",2020/4/13,1.39,8.5,-9.11,0
"MOHE, CH",2020/4/14,2.22,12.11,-9.11,0
"MOHE, CH",2020/4/15,2.5,13.5,-9.0,0
"MOHE, CH",2020/4/16,3.78,15.61,-9.0,0
"MOHE, CH",2020/4/17,5.94,16.72,-8.11,0
"MOHE, CH",2020/4/18,1.39,16.72,-4.5,0.1
"MOHE, CH",2020/4/19,-3.61,5.39,-7.89,0.01
"MOHE, CH",2020/4/20,-3.5,-0.11,-7.89,0
"MOHE, CH",2020/4/21,-2.11,2.5,-6.5,0
"MOHE, CH",2020/4/22,-2.33,5.22,-11.28,0
"MOHE, CH",2020/4/23,5.17,11.28,-11.28,0
"MOHE, CH",2020/4/24,5.22,12.39,-3.72,0
"MOHE, CH",2020/4/25,4.06,12.39,-6.72,0
"MOHE, CH",2020/4/26,5.44,14.5,-6.89,0
"MOHE, CH",2020/4/27,4.56,15.39,-7.22,0
"MOHE, CH",2020/4/28,6.67,18.89,-7.22,0
"MOHE, CH",2020/4/29,13.33,22.39,0.61,0
"MOHE, CH",2020/4/30,12.67,22.39,0.61,0
"MOHE, CH",2020/5/1,10.89,20.5,0.22,0.02
"MOHE, CH",2020/5/2,1.22,8.22,-9.61,0
"MOHE, CH",2020/5/3,2.94,11.0,-9.61,0
"MOHE, CH",2020/5/4,5.22,15.5,-5.61,0
"MOHE, CH",2020/5/5,6.83,18.22,-5.61,0
"MOHE, CH",2020/5/6,15.61,22.78,9.0,0
"MOHE, CH",2020/5/7,9.89,22.78,-1.78,0
"MOHE, CH",2020/5/8,8.33,18.28,-4.78,0
"MOHE, CH",2020/5/9,8.11,18.28,-4.78,0
"MOHE, CH",2020/5/10,7.72,15.61,-0.28,0
"MOHE, CH",2020/5/11,7.67,13.39,-0.22,0
"MOHE, CH",2020/5/12,3.83,13.39,-7.11,0
"MOHE, CH",2020/5/13,11.11,19.22,5.0,0.09
"MOHE, CH",2020/5/14,4.61,19.22,-1.5,0.03
"MOHE, CH",2020/5/15,10.72,16.28,-1.5,0
"MOHE, CH",2020/5/16,14.11,21.39,5.11,0
"MOHE, CH",2020/5/17,11.0,21.39,-1.11,0
"MOHE, CH",2020/5/18,11.56,20.39,-1.11,0.01
"MOHE, CH",2020/5/19,10.11,19.5,-1.22,0
"MOHE, CH",2020/5/20,10.56,19.61,-1.22,0.02
"MOHE, CH",2020/5/21,9.89,19.61,1.39,0.02
"MOHE, CH",2020/5/22,10.89,20.78,-1.22,0
"MOHE, CH",2020/5/23,7.72,20.78,-1.22,0.09
"MOHE, CH",2020/5/24,8.5,17.89,-1.11,0
"MOHE, CH",2020/5/25,11.56,21.5,-1.11,0
"MOHE, CH",2020/5/26,12.39,24.22,-0.72,0
"MOHE, CH",2020/5/27,15.89,27.78,-0.72,0
"MOHE, CH",2020/5/28,16.0,27.78,1.72,0.2
"MOHE, CH",2020/5/29,8.33,10.0,6.89,0.38
"MOHE, CH",2020/5/30,7.78,12.0,4.39,0.01
"MOHE, CH",2020/5/31,5.44,12.0,-0.89,0.02
"MOHE, CH",2020/6/1,8.39,18.61,-2.72,0
"MOHE, CH",2020/6/2,11.61,20.39,-2.72,0
"MOHE, CH",2020/6/3,11.17,20.39,0.22,0
"MOHE, CH",2020/6/4,14.06,23.28,1.39,0
"MOHE, CH",2020/6/5,14.67,23.28,1.89,0
"MOHE, CH",2020/6/6,12.06,23.0,3.72,0.02
"MOHE, CH",2020/6/7,16.06,20.39,3.72,0.28
"MOHE, CH",2020/6/8,14.28,23.0,1.5,0
"MOHE, CH",2020/6/9,13.0,23.0,1.5,0.13
"MOHE, CH",2020/6/10,14.33,24.61,2.11,0
"MOHE, CH",2020/6/11,12.61,24.61,0.5,0
"MOHE, CH",2020/6/12,14.83,25.28,0.5,0
"MOHE, CH",2020/6/13,11.5,25.28,3.39,0.12
"MOHE, CH",2020/6/14,11.67,19.72,3.39,0
"MOHE, CH",2020/6/15,17.17,26.0,3.39,0.01
"MOHE, CH",2020/6/16,16.56,26.0,4.5,0
"MOHE, CH",2020/6/17,18.11,25.61,4.5,0
"MOHE, CH",2020/6/18,14.72,24.28,10.72,0.25
"MOHE, CH",2020/6/19,14.56,21.22,7.89,0.24
"MOHE, CH",2020/6/20,13.39,21.5,6.78,0.28
"MOHE, CH",2020/6/21,13.39,21.5,6.5,0.02
"MOHE, CH",2020/6/22,15.28,20.61,6.5,0
"MOHE, CH",2020/6/23,16.06,20.61,8.22,0
"MOHE, CH",2020/6/24,15.0,24.5,4.61,0
"MOHE, CH",2020/6/25,16.94,27.0,4.61,0
"MOHE, CH",2020/6/26,17.44,27.0,5.61,0.01
"MOHE, CH",2020/6/27,15.44,26.5,9.5,0.17
"MOHE, CH",2020/6/28,16.17,25.72,9.11,0
"MOHE, CH",2020/6/29,17.0,27.28,9.11,0.33
"MOHE, CH",2020/6/30,18.44,29.61,7.89,0
"MOHE, CH",2020/7/1,20.5,31.39,7.89,0
"MOHE, CH",2020/7/2,20.83,31.39,9.72,0
"MOHE, CH",2020/7/3,21.44,30.61,10.11,0.02
"MOHE, CH",2020/7/4,16.72,30.61,8.61,0.08
"MOHE, CH",2020/7/5,14.33,26.39,5.28,0
"MOHE, CH",2020/7/6,14.44,23.39,3.28,0
"MOHE, CH",2020/7/7,17.22,27.28,3.28,0
"MOHE, CH",2020/7/8,20.78,32.0,6.61,0
"MOHE, CH",2020/7/9,23.72,33.22,10.39,0
"MOHE, CH",2020/7/10,24.28,35.28,11.22,0
"MOHE, CH",2020/7/11,23.78,35.28,11.22,0
"MOHE, CH",2020/7/12,22.0,35.0,12.5,0.61
"MOHE, CH",2020/7/13,24.83,35.0,12.89,0
"MOHE, CH",2020/7/14,23.78,35.0,12.89,0
"MOHE, CH",2020/7/15,23.5,33.11,12.89,0
"MOHE, CH",2020/7/16,22.0,33.11,13.89,0
"MOHE, CH",2020/7/17,21.33,33.61,13.89,0.15
"MOHE, CH",2020/7/18,20.67,33.61,16.0,0.45
"MOHE, CH",2020/7/19,19.44,28.89,11.28,0.04
"MOHE, CH",2020/7/20,17.17,24.89,7.5,0
"MOHE, CH",2020/7/21,15.61,24.28,4.61,0
"MOHE, CH",2020/7/22,17.94,27.89,4.61,0
"MOHE, CH",2020/7/23,22.28,30.78,8.39,0
"MOHE, CH",2020/7/24,23.0,30.78,14.78,0.26
"MOHE, CH",2020/7/25,19.89,30.61,15.72,0
"MOHE, CH",2020/7/26,22.89,27.0,15.72,0.01
"MOHE, CH",2020/7/27,23.33,33.5,15.28,0.13
"MOHE, CH",2020/7/28,24.22,33.5,15.11,0
"MOHE, CH",2020/7/29,23.94,32.39,14.78,0.1
"MOHE, CH",2020/7/30,21.5,31.78,14.0,0.2
"MOHE, CH",2020/7/31,18.83,31.72,14.0,0.78
"MOHE, CH",2020/8/1,20.83,27.5,15.39,0.02
"MOHE, CH",2020/8/2,19.33,27.5,15.89,0
"MOHE, CH",2020/8/3,14.11,22.72,13.72,1.51
"MOHE, CH",2020/8/4,14.39,15.39,13.61,0.44
"MOHE, CH",2020/8/5,14.94,18.22,10.72,0.02
"MOHE, CH",2020/8/6,16.11,19.0,10.72,0
"MOHE, CH",2020/8/7,16.39,19.0,14.28,0.41
"MOHE, CH",2020/8/8,17.5,19.61,14.5,0.55
"MOHE, CH",2020/8/9,19.28,24.22,15.5,0.08
"MOHE, CH",2020/8/10,15.0,24.22,11.72,0.81
"MOHE, CH",2020/8/11,17.11,25.11,8.39,0.05
"MOHE, CH",2020/8/12,17.22,27.22,7.78,0
"MOHE, CH",2020/8/13,18.89,27.39,7.78,0
"MOHE, CH",2020/8/14,15.61,27.39,9.61,0.46
"MOHE, CH",2020/8/15,15.44,22.89,8.78,0.01
"MOHE, CH",2020/8/16,15.89,22.89,8.78,0.02
"MOHE, CH",2020/8/17,11.44,21.78,8.0,0.15
"MOHE, CH",2020/8/18,9.22,18.11,0.22,0.01
"MOHE, CH",2020/8/19,10.5,20.22,0.22,0
"MOHE, CH",2020/8/20,15.0,23.22,1.22,0
"MOHE, CH",2020/8/21,17.0,25.11,8.11,0
"MOHE, CH",2020/8/22,16.67,25.78,8.39,0.05
"MOHE, CH",2020/8/23,16.28,25.78,8.89,0.56
"MOHE, CH",2020/8/24,15.39,22.0,12.5,0.52
"MOHE, CH",2020/8/25,13.61,18.89,10.22,0.24
"MOHE, CH",2020/8/26,11.39,19.61,3.78,0
"MOHE, CH",2020/8/27,10.94,20.72,3.61,0
"MOHE, CH",2020/8/28,9.94,20.72,3.5,0
"MOHE, CH",2020/8/29,11.56,18.78,3.5,0
"MOHE, CH",2020/8/30,14.28,18.78,5.72,0.52
