NAME,DATE,TAVG,TMAX,TMIN,PRCP
"SHANGHAI, CH",2020-01-01,6.89,9.78,-1.89,0.25
"SHANGHAI, CH",2020-01-02,10.61,12.78,1.0,0.25
"SHANGHAI, CH",2020-01-03,9.61,12.78,8.89,2.79
"SHANGHAI, CH",2020-01-04,9.56,10.72,7.72,1.27
"SHANGHAI, CH",2020-01-05,13.17,15.0,7.72,0.0
"SHANGHAI, CH",2020-01-06,17.44,23.0,10.78,0.0
"SHANGHAI, CH",2020-01-07,9.44,23.0,4.89,1.27
"SHANGHAI, CH",2020-01-08,5.56,18.0,4.72,0.0
"SHANGHAI, CH",2020-01-09,6.61,8.5,4.78,2.29
"SHANGHAI, CH",2020-01-10,7.67,8.78,5.28,11.94
"SHANGHAI, CH",2020-01-11,6.39,8.78,4.39,1.78
"SHANGHAI, CH",2020-01-12,5.0,7.78,1.89,0.0
"SHANGHAI, CH",2020-01-13,6.11,9.0,1.0,0.0
"SHANGHAI, CH",2020-01-14,5.22,9.0,1.89,0.0
"SHANGHAI, CH",2020-01-15,6.22,7.78,3.22,9.91
"SHANGHAI, CH",2020-01-16,6.06,7.78,5.11,9.91
"SHANGHAI, CH",2020-01-17,5.22,6.89,4.0,0.0
"SHANGHAI, CH",2020-01-18,4.5,6.72,4.0,0.0
"SHANGHAI, CH",2020-01-19,4.39,9.61,-0.11,0.0
"SHANGHAI, CH",2020-01-20,5.28,10.39,-0.22,0.0
"SHANGHAI, CH",2020-01-21,9.78,13.11,0.61,4.83
"SHANGHAI, CH",2020-01-22,9.11,13.11,3.11,18.8
"SHANGHAI, CH",2020-01-23,9.06,11.0,8.0,24.38
"SHANGHAI, CH",2020-01-24,8.5,11.0,7.5,6.1
"SHANGHAI, CH",2020-01-25,7.78,9.89,7.11,21.59
"SHANGHAI, CH",2020-01-26,7.78,8.89,6.11,24.89
"SHANGHAI, CH",2020-01-27,5.39,8.89,3.39,1.02
"SHANGHAI, CH",2020-01-28,5.17,7.0,3.22,0.0
"SHANGHAI, CH",2020-01-29,5.67,9.78,1.5,0.0
"SHANGHAI, CH",2020-01-30,3.72,9.78,0.5,0.0
"SHANGHAI, CH",2020-01-31,3.11,9.28,-2.22,0.0
"SHANGHAI, CH",2020-02-01,4.89,12.0,-2.39,0.0
"SHANGHAI, CH",2020-02-02,8.17,13.89,0.11,0.0
"SHANGHAI, CH",2020-02-03,6.28,13.89,1.72,0.0
"SHANGHAI, CH",2020-02-04,6.72,11.78,1.11,0.0
"SHANGHAI, CH",2020-02-05,6.56,11.78,-0.22,0.0
"SHANGHAI, CH",2020-02-06,5.67,10.72,4.61,14.73
"SHANGHAI, CH",2020-02-07,6.78,8.39,4.61,1.02
"SHANGHAI, CH",2020-02-08,6.06,8.5,1.39,0.0
"SHANGHAI, CH",2020-02-09,5.17,11.39,0.61,0.0
"SHANGHAI, CH",2020-02-10,11.0,16.28,0.28,0.25
"SHANGHAI, CH",2020-02-11,11.33,16.28,3.28,10.92
"SHANGHAI, CH",2020-02-12,11.5,15.5,8.28,0.25
"SHANGHAI, CH",2020-02-13,13.22,16.5,8.28,5.59
"SHANGHAI, CH",2020-02-14,14.11,18.39,10.0,2.54
"SHANGHAI, CH",2020-02-15,5.44,18.39,-0.11,14.48
"SHANGHAI, CH",2020-02-16,2.33,14.11,-0.28,3.05
"SHANGHAI, CH",2020-02-17,4.78,9.22,-0.11,0.0
"SHANGHAI, CH",2020-02-18,4.22,9.22,-0.5,0.0
"SHANGHAI, CH",2020-02-19,7.83,13.39,-1.11,0.0
"SHANGHAI, CH",2020-02-20,10.22,15.39,2.39,0.0
"SHANGHAI, CH",2020-02-21,11.78,17.28,5.22,0.0
"SHANGHAI, CH",2020-02-22,9.5,17.28,3.5,0.0
"SHANGHAI, CH",2020-02-23,11.28,17.11,2.28,0.0
"SHANGHAI, CH",2020-02-24,18.0,22.72,8.28,0.0
"SHANGHAI, CH",2020-02-25,15.17,23.28,9.0,0.0
"SHANGHAI, CH",2020-02-26,9.17,23.28,7.39,0.0
"SHANGHAI, CH",2020-02-27,9.5,11.89,7.22,0.0
"SHANGHAI, CH",2020-02-28,10.22,12.0,8.28,4.32
"SHANGHAI, CH",2020-02-29,9.78,12.0,8.72,8.38
"SHANGHAI, CH",2020-03-01,9.11,10.89,7.22,1.78
"SHANGHAI, CH",2020-03-02,8.44,11.5,7.0,0.0
"SHANGHAI, CH",2020-03-03,9.61,12.5,7.5,0.0
"SHANGHAI, CH",2020-03-04,7.89,12.5,5.22,0.0
"SHANGHAI, CH",2020-03-05,6.83,11.5,3.72,0.0
"SHANGHAI, CH",2020-03-06,11.44,15.5,3.72,1.52
"SHANGHAI, CH",2020-03-07,11.89,17.22,8.28,0.25
"SHANGHAI, CH",2020-03-08,13.11,17.22,8.28,10.92
"SHANGHAI, CH",2020-03-09,11.39,16.61,9.5,8.89
"SHANGHAI, CH",2020-03-10,8.61,13.39,3.72,0.0
"SHANGHAI, CH",2020-03-11,11.39,16.0,3.39,0.0
"SHANGHAI, CH",2020-03-12,13.44,17.0,8.61,2.79
"SHANGHAI, CH",2020-03-13,9.89,17.0,6.22,1.02
"SHANGHAI, CH",2020-03-14,9.94,14.78,4.39,0.0
"SHANGHAI, CH",2020-03-15,14.06,19.61,3.89,0.0
"SHANGHAI, CH",2020-03-16,12.56,19.61,8.78,0.0
"SHANGHAI, CH",2020-03-17,15.83,23.78,9.39,0.0
"SHANGHAI, CH",2020-03-18,18.44,24.78,9.39,0.0
"SHANGHAI, CH",2020-03-19,12.0,24.78,4.72,0.0
"SHANGHAI, CH",2020-03-20,15.61,20.5,4.72,0.0
"SHANGHAI, CH",2020-03-21,21.06,27.72,9.89,6.35
"SHANGHAI, CH",2020-03-22,13.39,27.72,8.28,0.0
"SHANGHAI, CH",2020-03-23,12.44,17.72,7.22,0.0
"SHANGHAI, CH",2020-03-24,15.94,20.72,6.78,0.0
"SHANGHAI, CH",2020-03-25,19.11,23.28,13.72,7.11
"SHANGHAI, CH",2020-03-26,18.06,23.28,11.39,10.92
"SHANGHAI, CH",2020-03-27,9.61,22.0,6.28,11.43
"SHANGHAI, CH",2020-03-28,7.44,12.72,4.89,14.22
"SHANGHAI, CH",2020-03-29,8.72,10.0,4.89,14.22
"SHANGHAI, CH",2020-03-30,11.33,12.5,7.39,2.29
"SHANGHAI, CH",2020-03-31,11.67,15.89,10.11,2.29
"SHANGHAI, CH",2020-04-01,11.89,16.39,7.39,0.51
"SHANGHAI, CH",2020-04-02,12.56,16.39,7.39,0.0
"SHANGHAI, CH",2020-04-03,12.44,16.61,8.28,0.0
"SHANGHAI, CH",2020-04-04,13.22,19.72,7.61,0.0
"SHANGHAI, CH",2020-04-05,10.78,19.72,6.72,0.0
"SHANGHAI, CH",2020-04-06,10.0,15.28,4.5,0.0
"SHANGHAI, CH",2020-04-07,13.28,20.22,4.28,0.0
"SHANGHAI, CH",2020-04-08,16.67,22.28,6.0,0.0
"SHANGHAI, CH",2020-04-09,15.67,22.28,10.28,0.0
"SHANGHAI, CH",2020-04-10,15.0,20.0,12.89,0.0
"SHANGHAI, CH",2020-04-11,9.83,18.61,7.61,3.05
"SHANGHAI, CH",2020-04-12,12.78,19.28,7.61,3.3
"SHANGHAI, CH",2020-04-13,12.78,19.28,6.39,0.0
"SHANGHAI, CH",2020-04-14,16.0,20.11,6.39,0.0
"SHANGHAI, CH",2020-04-15,17.17,24.28,11.11,0.0
"SHANGHAI, CH",2020-04-16,21.61,26.89,10.72,0.0
"SHANGHAI, CH",2020-04-17,17.33,26.89,13.61,0.0
"SHANGHAI, CH",2020-04-18,15.11,21.28,13.28,8.38
"SHANGHAI, CH",2020-04-19,13.56,17.72,9.61,8.13
"SHANGHAI, CH",2020-04-20,16.67,22.39,9.61,4.32
"SHANGHAI, CH",2020-04-21,12.83,22.39,10.72,2.29
"SHANGHAI, CH",2020-04-22,15.61,20.28,10.61,0.0
"SHANGHAI, CH",2020-04-23,15.06,20.28,10.0,0.0
"SHANGHAI, CH",2020-04-24,17.33,22.5,9.0,0.0
"SHANGHAI, CH",2020-04-25,19.61,26.39,11.89,0.0
"SHANGHAI, CH",2020-04-26,15.94,26.39,13.61,0.0
"SHANGHAI, CH",2020-04-27,13.17,20.28,6.61,0.0
"SHANGHAI, CH",2020-04-28,16.83,22.22,6.5,0.0
"SHANGHAI, CH",2020-04-29,20.89,27.11,13.61,0.0
"SHANGHAI, CH",2020-04-30,26.11,33.0,15.39,17.53
"SHANGHAI, CH",2020-05-01,21.83,33.0,20.22,11.94
"SHANGHAI, CH",2020-05-02,24.94,29.72,20.22,0.0
"SHANGHAI, CH",2020-05-03,26.56,33.72,20.89,0.0
"SHANGHAI, CH",2020-05-04,19.89,33.72,17.78,0.0
"SHANGHAI, CH",2020-05-05,17.89,24.28,15.78,0.76
"SHANGHAI, CH",2020-05-06,18.33,20.11,15.78,0.25
"SHANGHAI, CH",2020-05-07,20.94,24.28,17.11,0.0
"SHANGHAI, CH",2020-05-08,23.5,26.39,19.72,1.02
"SHANGHAI, CH",2020-05-09,19.83,26.39,17.28,0.51
"SHANGHAI, CH",2020-05-10,19.28,23.78,15.72,0.25
"SHANGHAI, CH",2020-05-11,21.94,27.28,15.61,0.0
"SHANGHAI, CH",2020-05-12,22.67,29.72,15.72,0.0
"SHANGHAI, CH",2020-05-13,22.39,29.72,17.0,0.0
"SHANGHAI, CH",2020-05-14,23.11,28.0,18.89,4.57
"SHANGHAI, CH",2020-05-15,23.83,28.28,21.22,3.05
"SHANGHAI, CH",2020-05-16,22.72,28.28,21.11,7.11
"SHANGHAI, CH",2020-05-17,25.94,29.89,21.11,0.0
"SHANGHAI, CH",2020-05-18,22.33,29.89,13.5,0.0
"SHANGHAI, CH",2020-05-19,22.5,28.61,13.39,0.0
"SHANGHAI, CH",2020-05-20,24.17,29.22,15.89,0.0
"SHANGHAI, CH",2020-05-21,22.17,29.22,18.61,0.0
"SHANGHAI, CH",2020-05-22,22.28,26.39,18.61,0.0
"SHANGHAI, CH",2020-05-23,23.0,27.61,18.61,0.0
"SHANGHAI, CH",2020-05-24,24.11,29.89,19.39,0.0
"SHANGHAI, CH",2020-05-25,21.61,29.89,17.5,6.6
"SHANGHAI, CH",2020-05-26,18.67,26.5,17.22,2.03
"SHANGHAI, CH",2020-05-27,23.5,27.28,17.39,0.0
"SHANGHAI, CH",2020-05-28,24.83,31.28,20.22,2.79
"SHANGHAI, CH",2020-05-29,21.56,31.28,15.89,2.03
"SHANGHAI, CH",2020-05-30,19.06,26.78,15.89,14.99
"SHANGHAI, CH",2020-05-31,23.72,28.28,17.61,0.0
"SHANGHAI, CH",2020-06-01,26.44,30.89,21.11,0.0
"SHANGHAI, CH",2020-06-02,28.56,33.11,21.39,0.0
"SHANGHAI, CH",2020-06-03,23.83,33.11,21.61,34.29
"SHANGHAI, CH",2020-06-04,27.56,32.11,21.61,0.0
"SHANGHAI, CH",2020-06-05,21.72,32.11,21.22,27.43
"SHANGHAI, CH",2020-06-06,22.67,26.78,18.22,0.25
"SHANGHAI, CH",2020-06-07,24.17,28.78,18.22,0.0
"SHANGHAI, CH",2020-06-08,24.94,28.78,21.39,1.52
"SHANGHAI, CH",2020-06-09,25.28,28.39,23.11,1.02
"SHANGHAI, CH",2020-06-10,25.72,28.39,24.11,32.0
