NAME,DATE,TAVG,TMAX,TMIN,PRCP
"SHENYANG, CH",2020-01-01,-14.11,-5.89,-21.22,0.0
"SHENYANG, CH",2020-01-02,-12.72,-4.28,-19.89,0.0
"SHENYANG, CH",2020-01-03,-10.39,-2.0,-17.5,0.0
"SHENYANG, CH",2020-01-04,-10.0,-0.89,-15.89,0.0
"SHENYANG, CH",2020-01-05,-6.44,0.39,-15.22,0.0
"SHENYANG, CH",2020-01-06,-1.28,1.0,-13.39,0.0
"SHENYANG, CH",2020-01-07,-8.83,1.0,-10.72,0.0
"SHENYANG, CH",2020-01-08,-7.28,-6.11,-10.72,0.51
"SHENYANG, CH",2020-01-09,-9.78,-2.78,-16.39,0.0
"SHENYANG, CH",2020-01-10,-9.78,-1.89,-16.39,0.0
"SHENYANG, CH",2020-01-11,-12.5,-1.89,-18.61,0.0
"SHENYANG, CH",2020-01-12,-15.44,-5.78,-20.61,0.0
"SHENYANG, CH",2020-01-13,-13.56,-5.28,-20.72,0.0
"SHENYANG, CH",2020-01-14,-14.72,-5.28,-20.5,0.0
"SHENYANG, CH",2020-01-15,-13.83,-4.22,-20.89,0.0
"SHENYANG, CH",2020-01-16,-13.61,-4.22,-19.78,0.0
"SHENYANG, CH",2020-01-17,-12.06,-2.72,-18.61,0.0
"SHENYANG, CH",2020-01-18,-6.0,-1.22,-18.61,1.27
"SHENYANG, CH",2020-01-19,-10.22,-1.22,-17.0,0.0
"SHENYANG, CH",2020-01-20,-11.39,-3.22,-18.28,0.0
"SHENYANG, CH",2020-01-21,-4.5,2.5,-16.89,0.0
"SHENYANG, CH",2020-01-22,-1.06,2.5,-14.22,0.25
"SHENYANG, CH",2020-01-23,-6.5,0.22,-14.5,0.0
"SHENYANG, CH",2020-01-24,-10.56,-0.72,-16.39,0.0
"SHENYANG, CH",2020-01-25,-8.28,-0.22,-16.61,0.0
"SHENYANG, CH",2020-01-26,-9.39,0.0,-17.5,0.0
"SHENYANG, CH",2020-01-27,-3.78,2.39,-16.11,0.0
"SHENYANG, CH",2020-01-28,-6.06,2.39,-12.22,0.0
"SHENYANG, CH",2020-01-29,-11.39,1.39,-14.39,0.0
"SHENYANG, CH",2020-01-30,-12.61,-6.5,-19.0,0.0
"SHENYANG, CH",2020-01-31,-10.67,-1.72,-19.22,0.0
"SHENYANG, CH",2020-02-01,-9.44,-1.28,-16.72,0.0
"SHENYANG, CH",2020-02-02,-10.0,-1.28,-16.39,0.0
"SHENYANG, CH",2020-02-03,-9.28,-5.0,-16.39,0.0
"SHENYANG, CH",2020-02-04,-13.0,-5.39,-16.61,0.0
"SHENYANG, CH",2020-02-05,-16.83,-9.89,-21.39,0.0
"SHENYANG, CH",2020-02-06,-10.39,-6.28,-22.0,0.0
"SHENYANG, CH",2020-02-07,-8.28,-1.78,-20.89,0.0
"SHENYANG, CH",2020-02-08,-9.11,-1.78,-15.28,0.0
"SHENYANG, CH",2020-02-09,-1.89,5.0,-15.39,0.0
"SHENYANG, CH",2020-02-10,-0.94,8.5,-11.78,0.0
"SHENYANG, CH",2020-02-11,5.72,11.11,-6.78,0.0
"SHENYANG, CH",2020-02-12,5.06,12.28,-1.39,0.0
"SHENYANG, CH",2020-02-13,2.89,12.28,-3.61,0.0
"SHENYANG, CH",2020-02-14,-6.33,-4.0,-8.0,3.81
"SHENYANG, CH",2020-02-15,-7.22,-3.78,-8.89,7.37
"SHENYANG, CH",2020-02-16,-9.06,-4.72,-13.22,0.51
"SHENYANG, CH",2020-02-17,-12.39,-5.22,-18.72,0.0
"SHENYANG, CH",2020-02-18,-5.83,2.39,-18.72,0.0
"SHENYANG, CH",2020-02-19,-3.5,3.5,-14.89,0.0
"SHENYANG, CH",2020-02-20,0.06,5.5,-9.11,0.0
"SHENYANG, CH",2020-02-21,0.33,5.5,-7.28,12.7
"SHENYANG, CH",2020-02-22,-2.33,2.0,-8.11,0.0
"SHENYANG, CH",2020-02-23,2.0,7.61,-8.39,0.0
"SHENYANG, CH",2020-02-24,2.89,7.61,-4.28,0.0
"SHENYANG, CH",2020-02-25,0.11,6.39,-4.89,0.0
"SHENYANG, CH",2020-02-26,-2.33,4.11,-8.11,0.0
"SHENYANG, CH",2020-02-27,-0.28,5.61,-8.28,0.0
"SHENYANG, CH",2020-02-28,1.06,5.61,-4.72,0.0
"SHENYANG, CH",2020-02-29,0.11,4.89,-2.72,0.0
"SHENYANG, CH",2020-03-01,-0.11,3.11,-4.22,0.0
"SHENYANG, CH",2020-03-02,-1.06,3.28,-5.5,0.0
"SHENYANG, CH",2020-03-03,-0.67,4.61,-5.22,3.3
"SHENYANG, CH",2020-03-04,-5.33,4.61,-10.39,0.25
"SHENYANG, CH",2020-03-05,-0.67,5.0,-10.78,0.0
"SHENYANG, CH",2020-03-06,3.78,6.78,-6.11,0.25
"SHENYANG, CH",2020-03-07,3.17,6.78,0.89,1.52
"SHENYANG, CH",2020-03-08,5.89,10.11,0.89,0.51
"SHENYANG, CH",2020-03-09,1.78,10.11,-1.72,3.05
"SHENYANG, CH",2020-03-10,0.94,5.0,-4.0,0.0
"SHENYANG, CH",2020-03-11,3.17,7.5,-5.39,0.0
"SHENYANG, CH",2020-03-12,0.72,7.5,-7.72,0.0
"SHENYANG, CH",2020-03-13,0.11,6.89,-7.72,0.0
"SHENYANG, CH",2020-03-14,4.06,8.61,-4.11,0.0
"SHENYANG, CH",2020-03-15,-3.5,8.61,-10.39,0.0
"SHENYANG, CH",2020-03-16,2.72,7.11,-10.39,0.0
"SHENYANG, CH",2020-03-17,5.39,14.28,-4.22,0.0
"SHENYANG, CH",2020-03-18,11.39,19.22,-2.22,0.0
"SHENYANG, CH",2020-03-19,3.39,19.22,-3.28,0.0
"SHENYANG, CH",2020-03-20,8.61,15.72,-3.28,0.0
"SHENYANG, CH",2020-03-21,4.17,15.72,-2.72,0.0
"SHENYANG, CH",2020-03-22,7.56,13.22,-2.72,0.0
"SHENYANG, CH",2020-03-23,5.33,13.22,-2.28,0.0
"SHENYANG, CH",2020-03-24,11.06,18.78,-2.28,0.0
"SHENYANG, CH",2020-03-25,11.83,18.78,4.11,0.0
"SHENYANG, CH",2020-03-26,1.56,16.39,-4.28,1.27
"SHENYANG, CH",2020-03-27,2.39,9.22,-5.72,0.0
"SHENYANG, CH",2020-03-28,3.22,9.39,-6.39,0.0
"SHENYANG, CH",2020-03-29,6.89,15.11,-3.5,0.0
"SHENYANG, CH",2020-03-30,12.22,18.11,-1.89,0.0
"SHENYANG, CH",2020-03-31,10.11,18.11,3.5,0.0
"SHENYANG, CH",2020-04-01,7.0,14.78,1.72,0.0
"SHENYANG, CH",2020-04-02,11.39,19.28,0.22,0.0
"SHENYANG, CH",2020-04-03,9.89,20.61,0.72,0.0
"SHENYANG, CH",2020-04-04,1.72,7.72,-7.11,0.0
"SHENYANG, CH",2020-04-05,4.61,13.28,-7.22,0.0
"SHENYANG, CH",2020-04-06,10.5,18.28,-2.72,0.0
"SHENYANG, CH",2020-04-07,6.11,18.28,-2.11,0.0
"SHENYANG, CH",2020-04-08,5.78,12.39,-3.0,0.0
"SHENYANG, CH",2020-04-09,4.22,10.61,-1.72,0.0
"SHENYANG, CH",2020-04-10,7.0,15.89,-2.11,0.0
"SHENYANG, CH",2020-04-11,12.11,19.22,-2.22,0.0
"SHENYANG, CH",2020-04-12,10.67,19.22,1.11,0.0
"SHENYANG, CH",2020-04-13,12.39,21.61,0.61,0.0
"SHENYANG, CH",2020-04-14,15.72,24.72,2.89,0.0
"SHENYANG, CH",2020-04-15,15.61,25.11,4.28,0.0
"SHENYANG, CH",2020-04-16,16.61,25.11,4.28,0.51
"SHENYANG, CH",2020-04-17,11.28,21.89,6.78,0.0
"SHENYANG, CH",2020-04-18,14.17,22.5,6.78,0.0
"SHENYANG, CH",2020-04-19,11.83,22.5,7.72,7.11
"SHENYANG, CH",2020-04-20,5.89,17.5,1.78,8.38
"SHENYANG, CH",2020-04-21,3.28,10.72,1.22,0.0
"SHENYANG, CH",2020-04-22,1.83,7.5,-3.28,0.25
"SHENYANG, CH",2020-04-23,7.5,12.5,-3.28,0.0
"SHENYANG, CH",2020-04-24,12.67,17.5,2.22,0.0
"SHENYANG, CH",2020-04-25,8.5,17.5,2.28,0.0
"SHENYANG, CH",2020-04-26,9.0,15.89,0.22,0.0
"SHENYANG, CH",2020-04-27,14.17,19.89,0.22,0.0
"SHENYANG, CH",2020-04-28,18.39,24.89,9.89,0.0
"SHENYANG, CH",2020-04-29,16.94,24.89,10.11,0.0
"SHENYANG, CH",2020-04-30,17.17,23.28,10.11,0.0
"SHENYANG, CH",2020-05-01,21.11,30.11,13.11,0.0
"SHENYANG, CH",2020-05-02,23.11,30.39,13.61,0.0
"SHENYANG, CH",2020-05-03,11.11,20.5,5.11,3.05
"SHENYANG, CH",2020-05-04,9.5,20.72,3.61,0.0
"SHENYANG, CH",2020-05-05,16.17,25.11,3.61,0.0
"SHENYANG, CH",2020-05-06,17.83,25.5,6.22,0.0
"SHENYANG, CH",2020-05-07,19.78,25.61,10.0,0.0
"SHENYANG, CH",2020-05-08,12.56,25.61,11.28,9.65
"SHENYANG, CH",2020-05-09,15.06,19.11,11.28,2.29
"SHENYANG, CH",2020-05-10,18.72,26.22,12.39,0.0
"SHENYANG, CH",2020-05-11,16.44,26.22,9.39,3.3
"SHENYANG, CH",2020-05-12,15.0,23.39,9.39,0.0
"SHENYANG, CH",2020-05-13,22.0,28.0,10.22,0.0
"SHENYANG, CH",2020-05-14,21.39,28.28,14.0,0.0
"SHENYANG, CH",2020-05-15,14.22,28.28,13.39,1.78
"SHENYANG, CH",2020-05-16,17.17,20.39,13.39,28.96
"SHENYANG, CH",2020-05-17,17.06,22.78,13.0,0.0
"SHENYANG, CH",2020-05-18,14.28,22.78,11.89,29.46
"SHENYANG, CH",2020-05-19,13.28,16.39,10.39,1.78
"SHENYANG, CH",2020-05-20,15.5,20.89,10.39,0.0
"SHENYANG, CH",2020-05-21,16.39,21.78,10.89,7.37
"SHENYANG, CH",2020-05-22,13.67,21.78,12.11,24.13
"SHENYANG, CH",2020-05-23,15.72,19.61,13.0,1.78
"SHENYANG, CH",2020-05-24,19.22,24.39,14.0,0.0
"SHENYANG, CH",2020-05-25,17.89,25.0,10.72,0.0
"SHENYANG, CH",2020-05-26,18.17,25.0,10.72,0.0
"SHENYANG, CH",2020-05-27,13.89,23.72,8.78,2.29
"SHENYANG, CH",2020-05-28,18.17,25.28,8.78,0.0
"SHENYANG, CH",2020-05-29,22.44,28.78,11.72,0.0
