NAME,DATE,TAVG,TMAX,TMIN,PRCP
"SHIJIAZHUANG, CH",2020-01-01,-2.94,1.61,-10.22,0.0
"SHIJIAZHUANG, CH",2020-01-02,-1.72,3.39,-6.5,0.0
"SHIJIAZHUANG, CH",2020-01-03,0.78,7.0,-6.39,0.0
"SHIJIAZHUANG, CH",2020-01-04,2.0,7.0,-5.39,0.0
"SHIJIAZHUANG, CH",2020-01-05,-0.67,7.0,-3.28,9.14
"SHIJIAZHUANG, CH",2020-01-06,-0.67,1.78,-4.39,0.0
"SHIJIAZHUANG, CH",2020-01-07,-0.67,3.22,-4.89,0.0
"SHIJIAZHUANG, CH",2020-01-08,-2.28,3.72,-6.89,0.0
"SHIJIAZHUANG, CH",2020-01-09,-2.94,3.72,-7.28,0.0
"SHIJIAZHUANG, CH",2020-01-10,-2.83,0.39,-6.11,0.0
"SHIJIAZHUANG, CH",2020-01-11,-2.94,0.39,-6.78,0.0
"SHIJIAZHUANG, CH",2020-01-12,-2.5,0.89,-7.61,0.0
"SHIJIAZHUANG, CH",2020-01-13,-1.72,2.0,-7.22,0.0
"SHIJIAZHUANG, CH",2020-01-14,-4.67,2.0,-11.89,0.0
"SHIJIAZHUANG, CH",2020-01-15,-4.67,1.28,-11.89,0.0
"SHIJIAZHUANG, CH",2020-01-16,-2.44,1.11,-10.89,0.0
"SHIJIAZHUANG, CH",2020-01-17,-3.83,1.11,-7.89,0.0
"SHIJIAZHUANG, CH",2020-01-18,-3.22,0.78,-7.22,0.0
"SHIJIAZHUANG, CH",2020-01-19,2.61,7.72,-6.28,0.0
"SHIJIAZHUANG, CH",2020-01-20,0.61,7.72,-2.89,0.0
"SHIJIAZHUANG, CH",2020-01-21,0.11,4.89,-2.89,0.0
"SHIJIAZHUANG, CH",2020-01-22,-0.06,5.61,-4.22,0.0
"SHIJIAZHUANG, CH",2020-01-23,1.94,6.78,-3.89,0.0
"SHIJIAZHUANG, CH",2020-01-24,0.67,6.78,-3.22,0.0
"SHIJIAZHUANG, CH",2020-01-25,0.5,4.72,-3.89,0.0
"SHIJIAZHUANG, CH",2020-01-26,0.39,4.72,-3.78,0.0
"SHIJIAZHUANG, CH",2020-01-27,2.89,7.22,-2.89,0.0
"SHIJIAZHUANG, CH",2020-01-28,2.72,7.22,-1.0,0.0
"SHIJIAZHUANG, CH",2020-01-29,3.0,7.78,-1.61,0.0
"SHIJIAZHUANG, CH",2020-01-30,1.89,7.78,-3.0,0.0
"SHIJIAZHUANG, CH",2020-01-31,4.0,11.0,-3.72,0.0
"SHIJIAZHUANG, CH",2020-02-01,2.89,11.0,-3.22,0.0
"SHIJIAZHUANG, CH",2020-02-02,1.22,6.11,-2.61,0.0
"SHIJIAZHUANG, CH",2020-02-03,1.17,6.39,-4.0,0.0
"SHIJIAZHUANG, CH",2020-02-04,0.56,6.39,-4.0,0.0
