NAME,DATE,TAVG,TMAX,TMIN,PRCP
"TURPAN, CH",2020-1-1,-4.72,-0.28,-10.11,0.0
"TURPAN, CH",2020-1-2,-4.72,0.0,-7.89,0.0
"TURPAN, CH",2020-1-3,-6.28,0.0,-10.11,0.0
"TURPAN, CH",2020-1-4,-6.39,-1.11,-10.39,0.0
"TURPAN, CH",2020-1-5,-6.5,-2.11,-10.5,0.0
"TURPAN, CH",2020-1-6,-6.89,-1.78,-10.5,0.0
"TURPAN, CH",2020-1-7,-7.44,-1.78,-11.5,0.0
"TURPAN, CH",2020-1-8,-7.0,-2.0,-11.5,0.0
"TURPAN, CH",2020-1-9,-6.28,-2.11,-10.72,0.0
"TURPAN, CH",2020-1-10,-6.67,-1.89,-10.39,0.0
"TURPAN, CH",2020-1-11,-7.11,-1.89,-10.22,0.0
"TURPAN, CH",2020-1-12,-6.72,-2.78,-10.89,0.0
"TURPAN, CH",2020-1-13,-6.06,-3.0,-10.89,0.0
"TURPAN, CH",2020-1-14,-4.56,-2.78,-10.5,5.08
"TURPAN, CH",2020-1-15,-5.06,-2.78,-6.39,2.54
"TURPAN, CH",2020-1-16,-4.33,-2.39,-6.0,59.94
"TURPAN, CH",2020-1-17,-5.0,-2.0,-8.11,50.04
"TURPAN, CH",2020-1-18,-5.39,-2.0,-8.11,0.25
"TURPAN, CH",2020-1-19,-6.44,-4.11,-8.11,0.51
"TURPAN, CH",2020-1-20,-8.17,-4.72,-10.22,0.25
"TURPAN, CH",2020-1-21,-8.44,-5.89,-10.22,50.04
"TURPAN, CH",2020-1-22,-8.89,-7.78,-10.11,59.94
"TURPAN, CH",2020-1-23,-9.33,-7.39,-11.72,50.04
"TURPAN, CH",2020-1-24,-10.5,-7.39,-12.72,59.94
"TURPAN, CH",2020-1-25,-10.61,-8.39,-12.72,50.04
"TURPAN, CH",2020-1-26,-11.61,-9.5,-13.28,59.94
"TURPAN, CH",2020-1-27,-11.5,-9.5,-13.28,50.04
"TURPAN, CH",2020-1-28,-11.94,-10.72,-13.39,59.94
"TURPAN, CH",2020-1-29,-11.94,-10.78,-13.39,0.0
"TURPAN, CH",2020-1-30,-12.06,-10.61,-13.5,59.94
"TURPAN, CH",2020-1-31,-12.0,-10.39,-13.5,70.1
"TURPAN, CH",2020-2-1,-12.39,-10.39,-14.0,0.0
"TURPAN, CH",2020-2-2,-12.33,-10.89,-14.0,59.94
"TURPAN, CH",2020-2-3,-12.67,-10.72,-15.28,0.0
"TURPAN, CH",2020-2-4,-11.78,-10.61,-15.28,0.0
"TURPAN, CH",2020-2-5,-12.5,-10.61,-13.5,70.1
"TURPAN, CH",2020-2-6,-12.78,-9.5,-14.5,0.0
"TURPAN, CH",2020-2-7,-13.39,-9.5,-16.28,70.1
"TURPAN, CH",2020-2-8,-13.06,-9.78,-16.61,0.0
"TURPAN, CH",2020-2-9,-12.94,-9.5,-16.11,70.1
"TURPAN, CH",2020-2-10,-12.17,-8.72,-16.5,0.0
"TURPAN, CH",2020-2-11,-11.39,-8.39,-16.5,70.1
"TURPAN, CH",2020-2-12,-9.11,-4.78,-15.72,59.94
"TURPAN, CH",2020-2-13,-7.89,-2.22,-13.11,70.1
"TURPAN, CH",2020-2-14,-5.83,-0.11,-12.61,59.94
"TURPAN, CH",2020-2-15,-6.56,-0.11,-10.61,0.0
"TURPAN, CH",2020-2-16,-6.39,-0.61,-10.5,59.94
"TURPAN, CH",2020-2-17,-5.17,-1.61,-10.5,0.0
