STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
51573099999,2020-1-1,42.95,89.2333333,39.3,"TURPAN, CH",23.5,8,6.9,8,1033.1,8,27.9,8,4.8,8,2.7,8,4.3,999.9,31.5, ,13.8, ,0,G,999.9,0
51573099999,2020-1-2,42.95,89.2333333,39.3,"TURPAN, CH",23.5,8,6.7,8,1034.9,8,29.6,8,4.9,8,2.3,8,4.7,999.9,32, ,17.8, ,0,G,999.9,0
51573099999,2020-1-3,42.95,89.2333333,39.3,"TURPAN, CH",20.7,8,5.1,8,1030.5,8,25.2,8,5.1,8,2.2,8,3.3,999.9,32, ,13.8, ,0,G,999.9,0
51573099999,2020-1-4,42.95,89.2333333,39.3,"TURPAN, CH",20.5,8,4.9,8,1029.2,8,23.9,8,4.7,8,2.9,7,5.8,999.9,30, ,13.3, ,0,G,999.9,0
51573099999,2020-1-5,42.95,89.2333333,39.3,"TURPAN, CH",20.3,8,4.3,8,1031.6,8,26.3,8,4.8,8,3.2,7,5.8,999.9,28.2, ,13.1, ,0,G,999.9,0
51573099999,2020-1-6,42.95,89.2333333,39.3,"TURPAN, CH",19.6,8,4.2,8,1030.5,8,25.2,8,4.8,8,2.7,8,3.9,999.9,28.8, ,13.1, ,0,G,999.9,0
51573099999,2020-1-7,42.95,89.2333333,39.3,"TURPAN, CH",18.6,8,3.8,8,1031.4,8,26.1,8,4.2,8,2,8,3.9,999.9,28.8, ,11.3, ,0,G,999.9,0
51573099999,2020-1-8,42.95,89.2333333,39.3,"TURPAN, CH",19.4,8,3.5,8,1032.3,8,27,8,4.6,8,2.3,8,3.9,999.9,28.4,*,11.3, ,0,G,999.9,0
51573099999,2020-1-9,42.95,89.2333333,39.3,"TURPAN, CH",20.7,8,4.3,8,1032.5,8,27.2,8,4.3,8,2.5,7,3.9,999.9,28.2, ,12.7, ,0,G,999.9,0
51573099999,2020-1-10,42.95,89.2333333,39.3,"TURPAN, CH",20,8,3.6,8,1030.7,8,25.4,8,4,8,3,8,4.1,999.9,28.6, ,13.3, ,0,G,999.9,0
51573099999,2020-1-11,42.95,89.2333333,39.3,"TURPAN, CH",19.2,7,3.5,7,1031.5,7,26.2,7,4.2,7,3,7,4.9,999.9,28.6, ,13.6, ,0,G,999.9,0
51573099999,2020-1-12,42.95,89.2333333,39.3,"TURPAN, CH",19.9,8,4.8,8,1029,8,23.7,8,4.3,8,2.5,8,3.9,999.9,27, ,12.4, ,0,G,999.9,0
51573099999,2020-1-13,42.95,89.2333333,39.3,"TURPAN, CH",21.1,7,4.9,7,1024.3,7,19,7,3.9,7,2.5,6,3.9,999.9,26.6, ,12.4, ,0,G,999.9,0
51573099999,2020-1-14,42.95,89.2333333,39.3,"TURPAN, CH",23.8,8,11.8,8,1025.6,8,20.4,8,2.3,8,1.9,7,2.1,999.9,27, ,13.1, ,0.2,G,0.4,1000
51573099999,2020-1-15,42.95,89.2333333,39.3,"TURPAN, CH",22.9,8,20.1,8,1033.7,8,28.4,8,1.1,8,2.2,8,3.1,999.9,27, ,20.5, ,0.1,G,2.4,1000
51573099999,2020-1-16,42.95,89.2333333,39.3,"TURPAN, CH",24.2,8,21.8,8,1035.8,8,30.5,8,1,8,2.5,8,3.9,999.9,27.7, ,21.2, ,2.36,G,2.4,1000
51573099999,2020-1-17,42.95,89.2333333,39.3,"TURPAN, CH",23,8,19.2,8,1040.1,8,34.8,8,2.4,8,2.8,8,4.5,999.9,28.4, ,17.4, ,1.97,G,2,101000
51573099999,2020-1-18,42.95,89.2333333,39.3,"TURPAN, CH",22.3,8,19.8,8,1040.6,8,35.3,8,1.7,8,2.3,7,3.9,999.9,28.4, ,17.4, ,0.01,G,2,1000
51573099999,2020-1-19,42.95,89.2333333,39.3,"TURPAN, CH",20.4,8,15.4,8,1035,8,29.7,8,3.7,8,3,8,5.2,999.9,24.6, ,17.4, ,0.02,G,2.4,1000
51573099999,2020-1-20,42.95,89.2333333,39.3,"TURPAN, CH",17.3,8,14.3,8,1030.3,8,25,8,3.1,8,2.6,7,3.9,999.9,23.5, ,13.6, ,0.01,G,2.4,1000
51573099999,2020-1-21,42.95,89.2333333,39.3,"TURPAN, CH",16.8,8,13.1,8,1033.1,8,27.8,8,3.2,8,2.5,8,3.9,999.9,21.4, ,13.6, ,1.97,G,2,1000
51573099999,2020-1-22,42.95,89.2333333,39.3,"TURPAN, CH",16,8,11.9,8,1036.8,8,31.4,8,3.5,8,2.5,8,3.9,999.9,18, ,13.8, ,2.36,G,2,1000
51573099999,2020-1-23,42.95,89.2333333,39.3,"TURPAN, CH",15.2,8,9,8,1041.4,8,36,8,3.9,8,2.6,8,3.9,999.9,18.7, ,10.9, ,1.97,G,2,1000
51573099999,2020-1-24,42.95,89.2333333,39.3,"TURPAN, CH",13.1,8,7.5,8,1039.4,8,34,8,3.4,8,2.7,8,4.1,999.9,18.7, ,9.1, ,2.36,G,2.4,1000
51573099999,2020-1-25,42.95,89.2333333,39.3,"TURPAN, CH",12.9,8,7,8,1034.7,8,29.3,8,2.9,8,2.4,7,3.9,999.9,16.9, ,9.1, ,1.97,G,2,1000
51573099999,2020-1-26,42.95,89.2333333,39.3,"TURPAN, CH",11.1,8,5.1,8,1035.3,8,29.9,8,3.1,8,2.7,8,3.9,999.9,14.9, ,8.1, ,2.36,G,2.4,1000
51573099999,2020-1-27,42.95,89.2333333,39.3,"TURPAN, CH",11.3,8,5.8,8,1035.6,8,30.1,8,2.6,8,2.5,8,3.9,999.9,14.9, ,8.1, ,1.97,G,2,1000
51573099999,2020-1-28,42.95,89.2333333,39.3,"TURPAN, CH",10.5,8,4.3,8,1038.1,8,32.7,8,2.9,8,2.9,8,3.9,999.9,12.7, ,7.9, ,2.36,G,2.4,1000
51573099999,2020-1-29,42.95,89.2333333,39.3,"TURPAN, CH",10.5,8,4.8,8,1039.5,8,34.1,8,2.6,8,2.5,8,3.9,999.9,12.6, ,7.9, ,0,F,2.4,1000
51573099999,2020-1-30,42.95,89.2333333,39.3,"TURPAN, CH",10.3,8,4.7,8,1037.6,8,32.1,8,2.5,8,2.9,8,5.8,999.9,12.9, ,7.7, ,2.36,G,2.4,1000
51573099999,2020-1-31,42.95,89.2333333,39.3,"TURPAN, CH",10.4,8,5.1,8,1037.5,8,32.1,8,2.6,8,2.7,8,3.9,999.9,13.3, ,7.7, ,2.76,G,1.6,1000
51573099999,2020-2-1,42.95,89.2333333,39.3,"TURPAN, CH",9.7,8,4.1,8,1040.3,8,34.8,8,2.5,8,2.1,8,3.9,999.9,13.3, ,6.8, ,0,F,2.8,1000
51573099999,2020-2-2,42.95,89.2333333,39.3,"TURPAN, CH",9.8,8,4,8,1036.2,8,30.8,8,2.3,8,2.1,8,2.7,999.9,12.4, ,6.8, ,2.36,G,2.8,1000
51573099999,2020-2-3,42.95,89.2333333,39.3,"TURPAN, CH",9.2,8,4.4,8,1034,8,28.5,8,2.2,8,2.6,8,3.9,999.9,12.7, ,4.5, ,0,F,2.4,1000
51573099999,2020-2-4,42.95,89.2333333,39.3,"TURPAN, CH",10.8,7,5.5,7,1033.8,7,28.4,7,2.3,7,2.4,7,3.9,999.9,12.9, ,4.5, ,0,G,1.6,1000
51573099999,2020-2-5,42.95,89.2333333,39.3,"TURPAN, CH",9.5,8,3.9,8,1033.3,8,27.9,8,2.4,8,3,8,5.8,999.9,12.9, ,7.7, ,2.76,G,2.4,1000
51573099999,2020-2-6,42.95,89.2333333,39.3,"TURPAN, CH",9,8,3.6,8,1035.3,8,29.9,8,2.3,8,3.2,8,4.5,999.9,14.9, ,5.9, ,0,F,2.8,1000
51573099999,2020-2-7,42.95,89.2333333,39.3,"TURPAN, CH",7.9,8,2.5,8,1042.6,8,37.1,8,2.4,8,2.6,8,3.9,999.9,14.9, ,2.7, ,2.76,G,2.8,1000
51573099999,2020-2-8,42.95,89.2333333,39.3,"TURPAN, CH",8.5,8,2.8,8,1042.3,8,36.8,8,2.5,8,2.2,8,3.3,999.9,14.4, ,2.1, ,0,F,2.8,0
51573099999,2020-2-9,42.95,89.2333333,39.3,"TURPAN, CH",8.7,8,3,8,1030.9,8,25.5,8,2.4,8,2.8,8,4.7,999.9,14.9, ,3, ,2.76,G,2.8,1000
51573099999,2020-2-10,42.95,89.2333333,39.3,"TURPAN, CH",10.1,8,4.4,8,1026.3,8,20.9,8,2.3,8,2.5,8,4.7,999.9,16.3, ,2.3, ,0,F,2.4,0
51573099999,2020-2-11,42.95,89.2333333,39.3,"TURPAN, CH",11.5,8,5.8,8,1024.7,8,19.3,8,2.3,8,3.2,8,5.1,999.9,16.9, ,2.3, ,2.76,G,2.8,0
51573099999,2020-2-12,42.95,89.2333333,39.3,"TURPAN, CH",15.6,8,8.8,8,1025.8,8,20.5,8,2.1,8,3.1,8,5.8,999.9,23.4, ,3.7, ,2.36,G,2.4,0
51573099999,2020-2-13,42.95,89.2333333,39.3,"TURPAN, CH",17.8,8,11.2,8,1033.6,8,28.3,8,2.6,8,2.6,7,4.7,9.7,28, ,8.4, ,2.76,G,2.4,0
51573099999,2020-2-14,42.95,89.2333333,39.3,"TURPAN, CH",21.5,8,13.3,8,1043.3,8,38,8,3,8,3.1,8,4.7,999.9,31.8, ,9.3, ,2.36,G,2.4,0
